group,n_pairs,n_accepted,accept_rate,mean_conf_accepted,median_conf_accepted,frac_conf_eq_1,frac_conf_le_0p7,mannwhitney_p_vs_other,cliffs_delta_dense_minus_proj
dense,682,356,0.5219941348973607,0.6339887640449439,0.6,0.0449438202247191,0.7303370786516854,7.580170262308498e-11,-0.4089572613672162
projection,216,107,0.49537037037037035,0.7757009345794392,0.8,0.21495327102803738,0.34579439252336447,7.580170262308498e-11,-0.4089572613672162
