stratum,n,pos_rate,auc,ci_lo,ci_hi
兩側都沒看過,69,0.7536231884057971,0.9547511312217195,0.9047562786929517,0.9897959183673469
只有 FC 看過,315,0.4,0.9773242630385488,0.9624586192030866,0.9898497303821857
只有 EM 看過,100,0.75,0.9962666666666667,0.9873509550180831,1.0
兩側都看過,735,0.5047619047619047,0.9787106424572731,0.9697351476782039,0.9866796443593052
FC 伴侶見過,783,0.5236270753512133,0.9757143791277055,0.9655685242831491,0.9845080151927347
FC 伴侶沒見過,436,0.4908256880733945,0.983413319861918,0.9725559834573456,0.9917397978420569
全部,1219,0.5118949958982772,0.9784421460892049,0.9710052863652998,0.9848299616805023
差距(兩側都沒看過 − 兩側都看過),804,,-0.024088940539062194,-0.07469262738525717,0.012677166484033267
