neuron_id,source,group,exclusive,n_points,n_points_within_10um,frac_points_within_10um,n_points_within_20um,frac_points_within_20um
1005857944,EM,dense,True,50962,174,0.0034143087006004475,443,0.008692751461873554
1008024276,EM,dense,True,6991,59,0.00843942211414676,84,0.012015448433700473
1008378609,EM,dense,True,11406,36,0.003156233561283535,52,0.004559004032965106
1012954687,EM,dense,True,18301,88,0.004808480410906508,105,0.005737391399377083
1013346945,EM,dense,True,6712,68,0.010131108462455305,91,0.013557806912991657
1014344148,EM,dense,True,17446,110,0.006305170239596469,347,0.019889946119454317
1035601661,EM,dense,True,6043,56,0.009266920403772961,74,0.012245573390699984
1036637638,EM,dense,True,62591,268,0.004281765749069355,395,0.0063108114585164
1037293275,EM,dense,True,8998,167,0.01855967992887308,685,0.07612802845076684
1042656011,EM,dense,True,5147,60,0.011657276083155236,149,0.028948902273168837
1043117106,EM,dense,True,14914,121,0.00811318224487059,134,0.008984846452997184
1043705078,EM,dense,True,9479,74,0.007806730667791961,133,0.014031015929950416
1048250312,EM,dense,True,15675,89,0.0056778309409888355,115,0.00733652312599681
1051980223,EM,dense,True,5585,95,0.017009847806624886,790,0.1414503133393017
1070426862,EM,dense,True,6109,80,0.013095432967752497,104,0.017024062858078247
1105169664,EM,dense,True,11432,66,0.005773268019594122,81,0.007085374387683695
1107081827,EM,dense,True,18926,95,0.00501954982563669,145,0.007661418154919159
1107561814,EM,dense,True,22000,306,0.01390909090909091,351,0.015954545454545454
1110972158,EM,dense,True,5197,35,0.00673465460842794,57,0.010967866076582644
1131827390,EM,dense,True,31160,95,0.003048780487804878,113,0.003626444159178434
1134107162,EM,dense,True,9463,170,0.017964704639120786,197,0.020817922434745853
1135441187,EM,dense,True,31033,153,0.004930235555698772,190,0.006122514742371025
1135837629,EM,dense,True,23129,186,0.008041852220156513,324,0.014008387738337152
1160073701,EM,dense,True,8535,120,0.014059753954305799,162,0.01898066783831283
1167304403,EM,dense,True,6137,353,0.057519960892944436,381,0.06208245070881538
1168915489,EM,dense,True,21181,196,0.009253576318398564,238,0.011236485529483971
1191315642,EM,dense,True,19834,184,0.009276999092467481,245,0.012352525965513764
1192019859,EM,dense,True,2146,37,0.017241379310344827,58,0.02702702702702703
1198330286,EM,dense,True,19434,89,0.004579602758052897,120,0.006174745291756715
1224595608,EM,dense,True,7875,78,0.009904761904761904,96,0.01219047619047619
1224941044,EM,dense,True,16429,41,0.0024955870716416094,61,0.003712946618783858
1225290633,EM,dense,True,34638,74,0.0021363820081990877,155,0.004474854206362954
1225640135,EM,dense,True,12192,80,0.006561679790026247,120,0.00984251968503937
1228265278,EM,dense,True,12102,131,0.010824657081474136,202,0.016691455957692943
1261000309,EM,dense,True,5844,317,0.054243668720054754,339,0.058008213552361396
1261423370,EM,dense,False,3779,158,0.0418100026462027,206,0.05451177560201111
1262360335,EM,dense,True,34300,188,0.005481049562682216,250,0.007288629737609329
1289359184,EM,dense,True,16596,46,0.00277175222945288,66,0.0039768618944323935
1316245799,EM,dense,True,13116,271,0.02066178713022263,306,0.02333028362305581
1321564092,EM,dense,True,84576,450,0.005320658342792281,498,0.005888195232690125
1352684733,EM,dense,True,38226,268,0.007010934965730131,314,0.008214304400146498
1354368623,EM,dense,True,4354,52,0.011943040881947635,523,0.12011943040881948
1378251040,EM,dense,True,25601,172,0.006718487559079723,244,0.00953087770008984
1383016399,EM,dense,True,10417,159,0.015263511567629836,492,0.04723048862436402
1406911688,EM,dense,True,22176,239,0.010777417027417028,312,0.01406926406926407
1443135486,EM,dense,True,8205,41,0.004996953077391834,64,0.007800121876904326
1449247522,EM,dense,True,9055,270,0.02981778023191607,715,0.078961899503037
1449618949,EM,dense,True,2494,177,0.07097032878909383,467,0.1872493985565357
1479156699,EM,dense,True,8785,183,0.020830961866818442,220,0.02504268639726807
1480525278,EM,dense,True,11581,108,0.009325619549261721,146,0.01260685605733529
1572390197,EM,dense,True,13806,122,0.008836737650296972,150,0.01086484137331595
1578826464,EM,dense,True,29647,286,0.009646844537389955,363,0.012244071912841097
1630051981,EM,dense,True,6964,109,0.01565192418150488,283,0.04063756461803561
1639886198,EM,dense,False,29327,208,0.007092440413271047,581,0.019811095577454224
1640555311,EM,dense,False,26824,322,0.012004175365344467,421,0.015694900089472115
1640572741,EM,dense,True,59957,315,0.005253765198392181,1285,0.021432026285504613
1640887603,EM,dense,True,26331,208,0.00789943412707455,333,0.012646690213056854
1640909284,EM,dense,True,37133,346,0.009317857431395255,2061,0.05550319123151913
1640922516,EM,dense,True,54672,438,0.008011413520632133,1527,0.027930201931518878
1640922754,EM,dense,True,21519,233,0.010827640689623124,364,0.0169152841674799
1666561406,EM,dense,True,16139,112,0.006939711258442283,146,0.009046409319040832
1667251683,EM,dense,True,45784,219,0.004783330421107811,817,0.01784466189061681
1668944259,EM,dense,True,5321,131,0.024619432437511746,791,0.14865626761886863
1669924220,EM,dense,True,16050,162,0.010093457943925233,505,0.03146417445482866
1670597533,EM,dense,True,24909,181,0.007266449877554298,313,0.01256573929101931
1671257931,EM,dense,True,11676,347,0.02971908187735526,2131,0.18251113394998286
1671620613,EM,dense,True,76325,308,0.0040353750409433346,460,0.006026858827382902
1671638278,EM,dense,True,20765,173,0.008331326751745726,208,0.010016855285335902
1672320134,EM,dense,True,35328,277,0.00784080615942029,457,0.012935914855072464
1699974843,EM,dense,True,52059,239,0.0045909448894523525,830,0.015943448779269676
1700644008,EM,dense,False,9172,136,0.014827736589620584,231,0.025185346707370257
1702306037,EM,dense,True,26117,79,0.003024849714745185,313,0.011984531148294215
1704347707,EM,dense,True,52507,368,0.00700858933094635,1906,0.036299921915173214
1727979406,EM,dense,True,10473,238,0.0227251026448964,353,0.03370571946911105
1730651751,EM,dense,True,5023,92,0.018315747561218395,395,0.07863826398566594
1733677514,EM,dense,True,14874,135,0.009076240419524002,162,0.010891488503428802
1762359683,EM,dense,True,24371,82,0.003364654712568216,105,0.004308399327069058
1793403571,EM,dense,True,13852,109,0.007868899797863125,133,0.009601501588218308
1794055377,EM,dense,True,11513,92,0.007990966733258055,129,0.01120472509337271
1888199872,EM,dense,True,14139,254,0.01796449536742344,345,0.0244005941014216
1916800213,EM,dense,True,21103,427,0.020234089939818983,698,0.033075865990617445
1978573010,EM,dense,True,17520,138,0.007876712328767124,184,0.010502283105022832
2040301572,EM,dense,True,4770,41,0.008595387840670859,93,0.01949685534591195
2095549849,EM,dense,True,20350,72,0.0035380835380835383,107,0.005257985257985258
