item,n,value,ci_lo,ci_hi
pseudo_pairs,178278,,,
pair_overlap_with_expert,0,,,
expert_fc_in_pseudo,392,0.8653421633554084,,
expert_em_in_pseudo,447,0.7614991482112436,,
pseudo_pairs_touching_expert_neuron,12876,0.07222427893514623,,
stratum_兩側都沒進預訓練,32,0.9783549783549783,0.9270833333333334,1.0
stratum_只有一側進了,381,0.9804131254573085,0.9675611387363242,0.991018155995701
stratum_兩側都進了,806,0.9773390504981954,0.968551867095218,0.9850427798345559
stratum_全部,1219,0.9784421460892049,0.9711331125290897,0.9850794548994423
