rule,feature_1,direction_1,threshold_1,feature_2,direction_2,threshold_2,balanced_acc_insample,balanced_acc_cv_mean,balanced_acc_cv_sd,n,precision_dense,recall_dense
cable_length_um >= 2474,cable_length_um,>=,2474.23277367312,,,,0.8742157056997556,0.8705562770562775,0.06595624494084716,250,,
(cable_length_um >= 1999) AND (sidetot_top2 <= 0.244),cable_length_um,>=,1998.9480611655652,sidetot_top2,<=,0.2440403009726648,0.8844197873324087,0.8614437229437227,0.0682629192296335,250,0.9047619047619048,0.9047619047619048
(cable_length_um >= 2398) AND (regiontot_top2 <= 0.3687),cable_length_um,>=,2398.040171241239,regiontot_top2,<=,0.3686613628542418,0.8790700746317944,0.8538722943722942,0.07200228012871668,250,0.9090909090909091,0.8843537414965986
(cable_length_um >= 2398) AND (arbor_separation <= 3.815),cable_length_um,>=,2398.040171241239,arbor_separation,<=,3.815003149750439,0.8722343306254541,0.8475303030303029,0.07569162308506157,250,0.9516129032258065,0.8027210884353742
n_branch_points >= 111.9,n_branch_points,>=,111.85115577889445,,,,0.8475001651145895,0.8391147186147186,0.07384010801392192,250,,
(n_branch_points >= 116) AND (sidetot_top2 <= 0.3039),n_branch_points,>=,116.0,sidetot_top2,<=,0.3038807520830199,0.8601149197543095,0.8314458874458873,0.0728086349155521,250,0.9111111111111111,0.8367346938775511
sidetot_top2 <= 0.1902,sidetot_top2,<=,0.190154102201865,,,,0.777095304141074,0.7483571428571429,0.06846888714974288,250,,
