neuron_id,group,region_1,region_2,vox_1,vox_2,vox_neuropil,vox_total,vox_other,other_frac,share_1_total,share_2_total,share_12_total,side_1,side_2,side_share_1_total,side_share_2_total,top2_sides_same_region,region_pair
Gad1-F-200186,dense,al_3,ms_12,15016.0,7137.0,26666.0,36700.0,10034.0,0.2734059945504087,0.40915531335149863,0.19446866485013625,0.6036239782016348,al_3_r,ms_12_r,0.407574931880109,0.17463215258855586,False,al_3 + ms_12
Gad1-F-200219,dense,dfp_5,fspp_19,29018.0,4548.0,43500.0,51049.0,7549.0,0.147877529432506,0.5684342494466101,0.08909087347450488,0.657525122921115,dfp_5_r,fspp_19_r,0.5684342494466101,0.08909087347450488,False,dfp_5 + fspp_19
Gad1-F-200247,dense,dlp_23,spp_20,55623.0,25051.0,135419.0,149826.0,14407.0,0.09615821019048763,0.3712506507548757,0.16720061938515343,0.5384512701400291,dlp_23_r,spp_20_r,0.3712506507548757,0.16720061938515343,False,dlp_23 + spp_20
Gad1-F-200719,dense,al_3,ms_12,46017.0,7822.0,54621.0,62756.0,8135.0,0.1296290394543948,0.7332685320925489,0.12464146854484033,0.8579100006373892,al_3_r,ms_12_r,0.6872649627127286,0.12464146854484033,False,al_3 + ms_12
Gad1-F-400220,dense,dfp_5,fspp_19,27663.0,1572.0,31403.0,34954.0,3551.0,0.10159066201293128,0.7914115694913315,0.04497339360302111,0.8363849630943526,dfp_5_r,fspp_19_r,0.7914115694913315,0.04497339360302111,False,dfp_5 + fspp_19
Gad1-F-500004,dense,dlp_23,lh_25,44058.0,33384.0,129296.0,146923.0,17627.0,0.11997440836356459,0.29987136118919433,0.22722106137228343,0.5270924225614778,dlp_23_r,lh_25_r,0.29987136118919433,0.22722106137228343,False,dlp_23 + lh_25
Gad1-F-500321,dense,spp_20,lh_25,26582.0,22344.0,62165.0,71536.0,9371.0,0.13099698054126593,0.37158912994855736,0.3123462312681727,0.68393536121673,spp_20_r,lh_25_r,0.37158912994855736,0.3123462312681727,False,lh_25 + spp_20
Gad1-F-500457,dense,eb_8,mb_4,11008.0,4991.0,19322.0,31712.0,12390.0,0.39070383451059537,0.34712411705348134,0.15738521695257315,0.5045093340060545,eb_8_r,eb_8_l,0.18611251261352169,0.16101160443995963,True,eb_8 + mb_4
Gad1-F-600059,dense,dlp_23,mb_4,19932.0,14113.0,48436.0,57248.0,8812.0,0.15392677473448854,0.3481693683622135,0.2465238960313024,0.5946932643935159,dlp_23_r,mb_4_r,0.3481693683622135,0.1758664058133035,False,dlp_23 + mb_4
Gad1-F-600604,dense,al_3,vlp_21,43161.0,13703.0,76875.0,87837.0,10962.0,0.1247993442398989,0.49137607158714436,0.1560048726618623,0.6473809442490067,al_3_r,vlp_21_r,0.49137607158714436,0.1560048726618623,False,al_3 + vlp_21
Gad1-F-700172,dense,al_3,ms_12,23589.0,1687.0,25534.0,30637.0,5103.0,0.1665633058067043,0.7699513659953651,0.05506413813362927,0.8250155041289944,al_3_r,al_3_l,0.729248947351242,0.04070241864412312,True,al_3 + ms_12
Gad1-F-700193,dense,al_3,lh_25,21934.0,3192.0,27810.0,42766.0,14956.0,0.3497170649581443,0.5128840667820231,0.07463873170275452,0.5875227984847776,al_3_r,lh_25_r,0.5128840667820231,0.07463873170275452,False,al_3 + lh_25
Gad1-F-700607,dense,dfp_5,fb_6,22175.0,15210.0,43593.0,49502.0,5909.0,0.11936891438729748,0.4479616985172316,0.3072603127146378,0.7552220112318694,dfp_5_r,fb_6_l,0.44709304674558603,0.18219465880166458,False,dfp_5 + fb_6
Gad1-F-800371,dense,dfp_5,mb_4,48605.0,4493.0,56970.0,69019.0,12049.0,0.174575116996769,0.7042263724481664,0.0650980164882134,0.7693243889363799,dfp_5_l,mb_4_l,0.7042263724481664,0.0650980164882134,False,dfp_5 + mb_4
Gad1-F-900395,dense,dfp_5,idlp_24,82899.0,9788.0,100965.0,113421.0,12456.0,0.10982093263152326,0.730896394847515,0.08629795187839995,0.817194346725915,dfp_5_r,dfp_5_l,0.6407279075303515,0.09016848731716348,True,dfp_5 + idlp_24
TH-F-000009,dense,vlp_21,dmp_10,118721.0,36276.0,190641.0,233117.0,42476.0,0.18220893371139815,0.5092764577443945,0.155612846767932,0.6648893045123264,vlp_21_r,dmp_10_r,0.5092764577443945,0.155612846767932,False,dmp_10 + vlp_21
TH-F-000010,dense,dlp_23,fspp_19,38735.0,12037.0,70659.0,88261.0,17602.0,0.1994312323676369,0.4388688095534834,0.13637960140945604,0.5752484109629394,dlp_23_r,fspp_19_r,0.4388688095534834,0.13637960140945604,False,dlp_23 + fspp_19
TH-F-000012,dense,dlp_23,lh_25,67873.0,67284.0,240672.0,276020.0,35348.0,0.1280631838272589,0.24589884790957178,0.24376494456923412,0.48966379247880587,dlp_23_r,lh_25_r,0.24589884790957178,0.24376494456923412,False,dlp_23 + lh_25
TH-F-000019,dense,dfp_5,fspp_19,153629.0,12401.0,184367.0,198651.0,14284.0,0.07190499921973713,0.7733613221176838,0.06242606380033325,0.835787385918017,dfp_5_r,fspp_19_r,0.7733613221176838,0.06242606380033325,False,dfp_5 + fspp_19
TH-F-000036,dense,dfp_5,fspp_19,41815.0,13591.0,70101.0,83306.0,13205.0,0.15851199193335413,0.5019446378412119,0.16314551172784672,0.6650901495690587,dfp_5_r,fspp_19_r,0.5019446378412119,0.16314551172784672,False,dfp_5 + fspp_19
TH-F-000046,dense,dfp_5,ms_12,118613.0,9103.0,136764.0,144977.0,8213.0,0.05665036523034688,0.8181504652462115,0.06278927002214145,0.8809397352683529,dfp_5_l,ms_12_l,0.8181504652462115,0.06278927002214145,False,dfp_5 + ms_12
TH-F-000079,dense,vlp_21,dmp_10,277844.0,111410.0,525034.0,604481.0,79447.0,0.13143010284855935,0.4596405842367254,0.18430686820594858,0.6439474524426739,vlp_21_r,dmp_10_r,0.4596405842367254,0.18430686820594858,False,dmp_10 + vlp_21
TH-F-000091,dense,dfp_5,mb_4,39307.0,16971.0,73717.0,85682.0,11965.0,0.13964426600686258,0.4587544641815084,0.19806960621834224,0.6568240703998506,dfp_5_r,mb_4_r,0.4033519292266754,0.09992763941084475,False,dfp_5 + mb_4
TH-F-100005,dense,vlp_21,dmp_10,162006.0,48991.0,274335.0,335290.0,60955.0,0.1817978466402219,0.483181723284321,0.14611530317038982,0.6292970264547109,vlp_21_r,dmp_10_r,0.483181723284321,0.14611530317038982,False,dmp_10 + vlp_21
TH-F-100036,dense,dlp_23,dfp_5,33698.0,14325.0,67351.0,81348.0,13997.0,0.17206323449869695,0.4142449722181246,0.1760952942911934,0.590340266509318,dlp_23_r,fspp_19_r,0.4142449722181246,0.133844716526528,False,dfp_5 + dlp_23
TH-F-100050,dense,fb_6,dmp_10,52834.0,22093.0,132434.0,165527.0,33093.0,0.19992508775003473,0.3191865979568288,0.13347067245826966,0.45265727041509846,fb_6_l,fb_6_r,0.16336911802908285,0.15581747992774592,True,dmp_10 + fb_6
TH-F-100075,dense,dfp_5,fspp_19,44931.0,10616.0,68092.0,78380.0,10288.0,0.13125797397295227,0.5732457259504976,0.13544271497831079,0.7086884409288083,dfp_5_r,fspp_19_r,0.5732457259504976,0.13544271497831079,False,dfp_5 + fspp_19
TH-F-100095,dense,dfp_5,mb_4,87283.0,39223.0,174566.0,212021.0,37455.0,0.1766570292565359,0.41167148537173204,0.18499582588517174,0.5966673112569038,dfp_5_r,mb_4_r,0.3710104187792719,0.09439159328557077,False,dfp_5 + mb_4
TH-F-200004,dense,dfp_5,fspp_19,42060.0,12253.0,67123.0,78651.0,11528.0,0.14657156298076313,0.5347675172597932,0.15578950045136108,0.6905570177111543,dfp_5_r,fspp_19_r,0.5347675172597932,0.15578950045136108,False,dfp_5 + fspp_19
TH-F-200010,dense,dfp_5,mb_4,84597.0,33180.0,168429.0,209112.0,40683.0,0.19455124526569495,0.40455354068633076,0.15867095145185356,0.5632244921381844,dfp_5_r,mb_4_r,0.36842457630360764,0.09285932897203412,False,dfp_5 + mb_4
TH-F-200026,dense,dfp_5,idlp_24,103289.0,2416.0,109674.0,122844.0,13170.0,0.10720914330370225,0.8408143661880109,0.019667220214255477,0.8604815864022662,dfp_5_r,dfp_5_l,0.6963384455081241,0.14447592067988668,True,dfp_5 + idlp_24
TH-F-200034,dense,dfp_5,mb_4,68596.0,35430.0,143625.0,166232.0,22607.0,0.13599667933971799,0.4126521969295924,0.21313585831849463,0.625788055248087,dfp_5_r,mb_4_r,0.3770633812984263,0.10680254102699842,False,dfp_5 + mb_4
TH-F-200037,dense,dfp_5,mb_4,40816.0,30369.0,89311.0,109779.0,20468.0,0.18644731688209948,0.37180152852549214,0.2766376082857377,0.6484391368112299,dfp_5_r,mb_4_r,0.35709926306488493,0.17736543419051,False,dfp_5 + mb_4
TH-F-200064,dense,dfp_5,mb_4,52741.0,37021.0,116793.0,153461.0,36668.0,0.23894018675754752,0.34367689510690014,0.24124044545519707,0.5849173405620972,dfp_5_r,mb_4_r,0.3220883481796678,0.15445618104925682,False,dfp_5 + mb_4
TH-F-200085,dense,fb_6,ms_12,43742.0,21501.0,105819.0,121917.0,16098.0,0.1320406506065602,0.35878507509207086,0.17635768596668225,0.5351427610587531,fb_6_r,fb_6_l,0.18147592214375355,0.1773091529483173,True,fb_6 + ms_12
TH-F-200096,dense,dfp_5,mb_4,67321.0,34329.0,142204.0,171858.0,29654.0,0.1725494303436558,0.3917245633022612,0.1997521209370527,0.5914766842393139,dfp_5_r,mb_4_r,0.3610189807864632,0.11395454386761163,False,dfp_5 + mb_4
