fc_id,em_id,conf,group,nblast_official
G0239-F-000011,676573560,0.0,D1_projection,-0.5012170399629218
G0239-F-000011,636667489,0.0,D1_projection,-0.5057045896717446
G0239-F-000012,300972942,1.0,D1_projection,0.4685702517458884
G0239-F-000012,5813068729,1.0,D1_projection,0.4730291817773632
G0239-F-000013,300972942,1.0,D1_projection,0.48344444616871296
G0239-F-000013,5813068729,1.0,D1_projection,0.49445332092453465
Gad1-F-001409,1610224198,0.0,D1_projection,-0.8820797010724477
Gad1-F-001409,1641250106,0.0,D1_projection,-0.8818152153940519
Gad1-F-101173,5813020585,0.0,D1_projection,0.40260314633055405
Gad1-F-101173,5813020455,0.0,D1_projection,0.4152235638353836
Gad1-F-200227,5813022201,0.8,D1_projection,0.42051228598171875
Gad1-F-200227,860983686,0.8,D1_projection,0.39194324109118106
Gad1-F-300153,1224258912,0.0,D1_projection,-0.8809869182363503
Gad1-F-300153,1224945418,0.0,D1_projection,-0.8813741139082931
Gad1-F-300154,517854468,0.8,D1_projection,0.32903134112393423
Gad1-F-300154,423774471,0.8,D1_projection,0.3622029144202836
Gad1-F-300275,702389193,0.0,D1_projection,-0.6516056145874369
Gad1-F-300309,955464899,0.8,D1_projection,0.37556917993479766
Gad1-F-300309,862705904,0.8,D1_projection,0.262544453395317
Gad1-F-301525,422682603,0.7,D1_projection,0.28361501410782775
Gad1-F-301525,1419019956,0.7,D1_projection,0.23879225357957085
Gad1-F-301704,424789697,0.0,D1_projection,0.14062773118750482
Gad1-F-301704,760686202,0.0,D1_projection,-0.632043110582835
Gad1-F-400259,518899665,0.0,D1_projection,0.16993801020517402
Gad1-F-400259,296543992,0.0,D1_projection,-0.4227613710242072
Gad1-F-400718,1266871604,0.7,D1_projection,0.4341772553405796
Gad1-F-400718,673518025,0.0,D1_projection,-0.8786782289130235
Gad1-F-400957,1262114202,0.6,D1_projection,0.48725255623649316
Gad1-F-400957,1261423370,0.6,D1_projection,0.35119190481640705
Gad1-F-402516,829261936,0.9,D1_projection,0.36093111641703035
Gad1-F-402516,862705904,0.9,D1_projection,0.45699038026492084
Gad1-F-500136,946641153,0.0,D1_projection,-0.6592942613242988
Gad1-F-500136,1290416713,0.0,D1_projection,-0.4442813842257424
Gad1-F-500365,613719036,0.8,D1_projection,0.47226655147150914
Gad1-F-500365,768555687,0.8,D1_projection,0.5146983590344532
Gad1-F-500524,1173045815,0.9,D1_projection,0.32194484021214276
Gad1-F-500524,1141337605,0.9,D1_projection,0.31217362517194297
Gad1-F-500559,5813022201,0.7,D1_projection,0.32600964482387296
Gad1-F-500559,1171690479,0.9,D1_projection,0.16391279674366271
Gad1-F-502126,1142365351,0.9,D1_projection,0.35221532159168434
Gad1-F-502126,956138930,0.9,D1_projection,0.38180889709188137
Gad1-F-600109,1670278227,0.0,D1_projection,-0.7878823021757302
Gad1-F-600109,1510648834,0.0,D1_projection,-0.6712642742115904
Gad1-F-600115,946641153,0.0,D1_projection,-0.6207911642035018
Gad1-F-600345,922810839,0.0,D1_projection,-0.7132535733418972
Gad1-F-600345,5813077405,0.0,D1_projection,-0.5908366293303225
Gad1-F-601324,5812980638,0.0,D1_projection,-0.16740504232321488
Gad1-F-601324,1172372382,0.0,D1_projection,0.20310293894834058
Gad1-F-700131,613719036,0.8,D1_projection,0.46831005263843545
Gad1-F-700131,673085197,0.8,D1_projection,0.4384331727483326
Gad1-F-800094,1198330641,0.0,D1_projection,-0.6869364245656756
Gad1-F-800094,1290416713,0.0,D1_projection,-0.7747361061493943
Gad1-F-900001,1290416713,0.0,D1_projection,-0.7244915942460253
Gad1-F-900001,5813026366,0.0,D1_projection,-0.7814685238383579
