fc_id,em_id,group
VGlut-F-500002,5813011298,dense
VGlut-F-500335,1762359683,dense
VGlut-F-500335,5813039309,dense
VGlut-F-500876,1640555311,dense
VGlut-F-500876,1639886198,dense
VGlut-F-600204,5813061218,dense
VGlut-F-700261,5813047489,dense
VGlut-F-700261,5813057579,dense
VGlut-F-800130,1671620613,dense
VGlut-F-800130,1762359683,dense
fru-F-000094,422751191,dense
fru-F-000131,360591860,dense
fru-F-000131,298258611,dense
fru-F-000131,5812980529,dense
fru-M-000335,673776769,dense
fru-M-000339,329289084,dense
fru-M-000339,452029745,dense
fru-M-300299,579268807,dense
npf-M-300037,5813069630,dense
Cha-F-000088,1670597533,dense
Cha-F-000239,1672320134,dense
Cha-F-000239,5813069085,dense
Cha-F-000239,1704347707,dense
Cha-F-200299,950880008,dense
Cha-F-200299,5813023322,dense
Cha-F-200299,5813098368,dense
Cha-F-300344,5813047970,dense
Cha-F-300344,951916894,dense
Cha-F-400237,1321564092,dense
Cha-F-400237,950880008,dense
Cha-F-400237,951234513,dense
Cha-F-800090,361312808,dense
Cha-F-800090,487144598,dense
Cha-F-800090,329897255,dense
Gad1-F-000694,5813070613,dense
Gad1-F-000694,5813057853,dense
Gad1-F-000694,1383016399,dense
Gad1-F-000703,421641859,dense
Gad1-F-000703,360259229,dense
Gad1-F-200186,1702306037,dense
Gad1-F-200186,5813039309,dense
Gad1-F-200186,5813034455,dense
TH-F-000009,1406911688,dense
TH-F-000010,298258611,dense
TH-F-000019,675767414,dense
TH-F-000019,510049477,dense
TH-M-000029,675767414,dense
TH-M-000032,675767414,dense
TH-M-000032,611629428,dense
TH-M-100027,5813057579,dense
TH-M-100027,797442049,dense
TH-M-100027,5813021583,dense
TH-M-200034,5813021112,dense
TH-M-200034,1406911688,dense
TH-M-200034,797442049,dense
TH-M-200035,387870860,dense
TH-M-300017,5813021112,dense
TH-M-300017,1406911688,dense
Trh-M-100025,673746277,dense
Trh-M-100060,297251714,dense
Trh-M-100071,5813062858,dense
Trh-M-500163,5813033196,dense
Trh-M-700039,797442049,dense
VGlut-F-000016,5813098368,dense
VGlut-F-000016,1321564092,dense
VGlut-F-000016,857793013,dense
VGlut-F-000111,5813057579,dense
VGlut-F-000158,328870472,dense
VGlut-F-000158,298612190,dense
VGlut-F-000158,5813078542,dense
VGlut-F-200036,947573616,dense
VGlut-F-200062,329225149,dense
VGlut-F-200062,361312808,dense
VGlut-F-200062,329897255,dense
VGlut-F-200143,298254384,dense
VGlut-F-200143,5813020785,dense
VGlut-F-400184,1704347707,dense
VGlut-F-400186,5813034455,dense
VGlut-F-400757,1640555311,dense
VGlut-F-400757,1888199872,dense
VGlut-F-400757,1762359683,dense
VGlut-F-400898,1702306037,dense
VGlut-F-400898,5813034455,dense
VGlut-F-500876,5813039309,dense
VGlut-F-700261,5813021112,dense
VGlut-F-700541,5813039309,dense
VGlut-F-700541,1702306037,dense
VGlut-F-800130,1640887603,dense
VGlut-F-800130,1578826464,dense
