neuron_id,source,group,exclusive,cable_length_um,n_nodes,n_branch_points,n_tips,branch_per_100um,span_um,radius_gyration_um,hull_volume_um3,hull_area_um2,occupied_volume_um3,n_voxels,fill_ratio,cable_per_occupied_um2,cable_per_hull_um2,cable_per_rg,cable_per_span,local_density_r5,local_density_r10,revisit_r4um,revisit_r8um,revisit_r16um,overdraw_2d_mean,overdraw_2d_max,elongation,flatness,arbor_separation,arbor_balance,arbor_centroid_dist_um,bridge_fraction
1005857944,EM,dense,True,22433.01057684851,48475,2277,2295,10.150220329098081,318.5171800391408,87.66221298413548,4619361.106332692,156872.00337664763,104168.0,13021,0.022550304598875342,0.2153541450046896,0.00485630156648612,255.90285498391748,70.4295152119953,44.0,140.0,0.9130987698163672,1.1592088971087489,1.974736846553566,1.835759561742294,2.036587433213664,0.8693320632696172,0.44003565335021855,1.5398469731352695,0.5563967533393088,108.94378702682323,0.16342143212053756
1008024276,EM,dense,True,3739.378408325356,6868,314,327,8.397117534318273,254.91189625979226,63.839222801543144,1375193.1433396067,75381.3034591139,18024.0,2253,0.013106522590877212,0.20746662274330646,0.0027191659778381463,58.574936288775845,14.6692973658412,34.0,120.0,0.8655968537790175,1.0998171789192224,1.6118010380712742,1.5331113742693512,1.716098397579328,0.8689383144344879,0.5121865018944,2.896547435732304,0.06502280755149198,151.9485409749557,0.4167038879208812
1008378609,EM,dense,True,3979.9878523776747,10885,673,683,16.909599349604665,276.28032710353335,64.46248421829927,850616.2477078126,57228.87995806372,18184.0,2273,0.021377442588242472,0.2188730671127186,0.004678946426314683,61.74114914497597,14.405614377625277,74.0,269.0,0.9716767217718932,1.363009538485505,1.8702950434105614,1.6883240611060746,1.9850313478192891,0.40407692124399525,0.2769740062041642,2.467977864960001,0.805140592826511,100.51843801420999,0.3098887344112725
1012954687,EM,dense,True,7365.235013515274,16944,910,915,12.355342339112624,344.6747764501842,63.9167265242562,1606605.4626219624,95035.49544271333,33832.0,4229,0.021058063592530395,0.2177002545966917,0.0045843458054071915,115.231730628761,21.36865102044904,51.0,172.0,0.9384856031492449,1.20033165148554,2.045898614865354,1.7209134572199993,1.9346559005818948,0.6166120227309833,0.27026649801004843,2.15361990713954,0.4053019574458489,98.52765986046825,0.3443775786851013
1013346945,EM,dense,True,2810.3203159501354,6116,340,344,12.098265029445589,346.75877780005453,87.39380213782458,1510443.0787696266,92939.48180648098,13176.0,1647,0.008723268149060524,0.21329085579463686,0.0018605933288392172,32.15697506235183,8.104539800779323,43.0,124.0,0.8837485270283445,0.9785237868907156,1.2546072839063105,1.4722614795513953,1.7084014078724228,0.42223092021661024,0.19494852816416564,3.798785622352108,0.1783857610476825,196.52137116242676,0.31895079761331613
1014344148,EM,dense,True,9858.128692538341,16983,691,716,7.009443897025008,309.30540561141277,65.27827189418267,3234737.1211558706,128818.25697705249,47392.0,5924,0.014650958710074526,0.20801250617273678,0.0030475826391158888,151.0169985583956,31.87182801752688,28.0,93.0,0.8521895481101609,1.0398869928837913,1.559830489325687,1.6209197664176223,1.7183421113017852,0.8075654070417935,0.4856249151746684,1.4555099495253276,0.49965900828467325,78.34761986020892,0.3368956128050444
1035601661,EM,dense,True,3434.515718878681,5897,282,296,8.210764575917237,229.85355215505777,64.2388590227201,1111999.9603729341,66991.04184386709,16224.0,2028,0.014589928577478472,0.21169352310642758,0.003088593382437567,53.46476838363452,14.942191176413834,37.0,146.0,0.9163595834788371,1.3009529238176822,1.9693324076139227,1.6324819385719664,1.8645579364162221,0.6287237179967476,0.44420974943044006,2.1048910320056167,0.42691678991289217,97.35625520555612,0.3233669662167836
1036637638,EM,dense,True,24351.895959769685,59936,4725,4824,19.40300668090029,221.04209490388982,74.80697038677843,2771221.2201932156,112833.85370453894,98488.0,12311,0.035539566196427,0.24725749289019663,0.008787424036133721,325.5297712748129,110.16859015183515,110.0,538.0,1.3377222566342388,2.299083833059827,4.251378484596663,2.669735881812445,3.296141846205967,0.8768554358122151,0.45487490876832676,1.4207322152312358,0.448683328579464,88.52322470786248,0.13418957811651017
1037293275,EM,dense,True,5222.075653202193,8733,528,553,10.110922075137474,258.4134700854559,76.94221425885452,1619348.6628103503,83856.18179405203,24344.0,3043,0.015033204744030497,0.21451181618477627,0.0032248000527195764,67.870098404417,20.208217673309683,34.0,138.0,0.9305195390595498,1.245724153912737,2.1056756666137875,1.7232404641313586,1.8420019940748478,0.37391587822052,0.3168994352115048,4.638913768783908,0.21374454610251037,175.79712876947076,0.3717688993975395
1042656011,EM,dense,True,1903.6532404649618,4927,330,336,17.3350898674907,232.96971348416236,71.74991027924007,566947.9784554304,46134.12023063869,8472.0,1059,0.014943169959051211,0.22469939098972636,0.0033577211892547813,26.53178565737886,8.171247721409827,53.0,133.0,0.9368372246382686,1.0623064957951796,1.4509552137690258,1.490937350766652,1.7196506237262528,0.3497352011735047,0.17847386406409946,3.1673618965842794,0.8199531674752311,121.76183986967816,0.40938485042410794
1043117106,EM,dense,True,6231.1377683575365,13666,569,573,9.131558651927906,340.73606048350166,66.67304099459194,2383964.0313142803,107386.94960231669,30320.0,3790,0.012718312693369191,0.20551245937854673,0.002613771720759691,93.45813053379347,18.28728594066505,40.0,126.0,0.8466219793964044,1.0208285990100814,1.5153545156511519,1.5810242842288058,1.7582217179338422,0.640738021383821,0.3766376354691963,2.0179698487890887,0.27549510590544435,103.50834297435898,0.34807563934555585
1043705078,EM,dense,True,3724.4092357492937,8887,524,528,14.06934541377216,364.184197898089,74.75896073711645,1319874.906859108,90152.2007008491,17104.0,2138,0.0129588038314193,0.21775077383941147,0.002821789562324683,49.818900624446385,10.226718394825875,50.0,130.0,0.9022309195129102,1.0345581210414705,1.3225885070132435,1.5320712965648255,1.770156480869436,0.7250771942018703,0.2282137307864132,2.1478169121544664,0.20023118505735155,125.33696993634214,0.40814759942361567
1048250312,EM,dense,True,5930.20621299829,14796,880,894,14.83928160999102,263.8963832978208,76.41680449280342,2029917.319904559,95461.84256797876,26720.0,3340,0.01316309769762263,0.2219388552768821,0.0029214028349081288,77.60343097776051,22.471722192212628,66.0,236.5,1.0017240224659274,1.3502291013201935,1.9204035663854564,1.745448747942205,1.9266426942814456,0.536832580935073,0.2990716801995085,2.306008681669821,0.4520598447536398,120.4567729854616,0.37443535552092566
