fc_id,em_id,group,label,score,frac_nn_gt5,frac_nn_gt10,frac_nn_gt20,nn_median_um,orphan_fwd,orphan_rev,nn_median_rev_um
Cha-F-000009,1048215779,projection,1,0.3657734650382657,0.5570214013485781,0.316622691292876,0.11228378774552918,5.872574545236723,0.316622691292876,0.12266666666666666,5.000578688214082
Cha-F-000009,1078693835,projection,1,0.4638950817708449,0.47991791263559075,0.17355614189387278,0.03048959249486954,4.794585059393442,0.17355614189387278,0.09033333333333333,3.6955810152218866
Cha-F-400112,1224258912,projection,0,-0.865296525614647,1.0,1.0,1.0,70.35156558627332,1.0,1.0,53.578130053125925
Cha-F-400112,5813022925,projection,0,-0.8119221613793822,1.0,1.0,0.9857795835449467,64.89002824463775,1.0,1.0,52.55686297291042
Cha-F-400201,1639886198,projection,0,-0.7753938172541694,1.0,1.0,1.0,65.26841296787894,1.0,1.0,56.58579422331609
Cha-F-400201,1640555311,projection,0,-0.7674157860105526,1.0,1.0,0.9987384356602187,64.77753032749456,1.0,1.0,54.089850093682585
Cha-F-800086,579916831,projection,0,0.0755932580147284,0.7628734901462174,0.3897012078830261,0.1989828353464717,7.983001944962187,0.3897012078830261,0.4504783342712437,8.781712216067948
Cha-F-800086,5812981543,projection,1,0.1956345249806534,0.7418944691671965,0.42657342657342656,0.19008264462809918,9.211649969943288,0.42657342657342656,0.19133333333333333,6.858739377596434
E0585-F-200015,457175171,projection,1,0.2721011366949297,0.6169642857142857,0.4044642857142857,0.13482142857142856,7.796211163836725,0.4044642857142857,0.1425,5.282107851524611
E0585-F-200015,518899665,projection,0,0.1794890506894377,0.68125,0.40267857142857144,0.15848214285714285,8.44525916946256,0.40267857142857144,0.37733333333333335,8.22875915914712
E0585-F-300042,457175171,projection,1,0.3616640610217221,0.5316205533596838,0.3241106719367589,0.13162055335968378,5.606386044883823,0.3241106719367589,0.08833333333333333,3.9373545362239812
E0585-F-300042,642664141,projection,1,0.3564795441419253,0.5217391304347826,0.2391304347826087,0.13754940711462452,5.225640729330532,0.2391304347826087,0.1448876662081614,4.849542671730013
fru-F-200052,1228683492,projection,0,-0.796706349076046,1.0,1.0,1.0,77.18028613843933,1.0,1.0,45.48282930515991
fru-F-200052,456156825,projection,0,-0.2654480160090322,0.9888712241653418,0.951510333863275,0.6224165341812401,24.14916717094929,0.951510333863275,0.9668333333333333,24.16331886978622
fru-F-400010,862705904,projection,1,0.2493414234178971,0.7518837459634015,0.3132400430570506,0.060279870828848225,7.677239374100281,0.3132400430570506,0.2415,6.741118365774533
fru-F-400010,1173745330,projection,1,0.345297960645134,0.6065662002152853,0.2319698600645856,0.0,5.940067347900261,0.2319698600645856,0.20797524922653832,5.441275031276015
fru-F-400071,1205090786,projection,1,0.3521866387446078,0.5113484646194927,0.20293724966622162,0.0006675567423230974,5.173976788262374,0.20293724966622162,0.28633333333333333,5.995835363936987
fru-F-400071,1173745330,projection,1,0.2529921939187209,0.7049399198931909,0.40186915887850466,0.062082777036048066,8.4793341979728,0.40186915887850466,0.33619800618769335,7.728826543444614
fru-F-400141,862705904,projection,1,0.2710010317956982,0.65569774527727,0.2882388787324802,0.015843997562461912,6.636337179823152,0.2882388787324802,0.4215,8.31270344709086
fru-F-400141,1142356576,projection,1,0.4098586893575159,0.4954296160877514,0.1785496648385131,0.018281535648994516,4.915323403100018,0.1785496648385131,0.16966666666666666,4.818437579131386
fru-F-400196,1100792636,projection,0,-0.774029440740762,1.0,1.0,0.9886811023622047,60.770652262348136,1.0,1.0,48.60589842372734
fru-F-400196,1141324564,projection,1,0.3432899088869561,0.6486220472440944,0.3494094488188976,0.04773622047244094,6.9310670758142106,0.3494094488188976,0.1258684102983245,5.268045376431795
fru-F-400214,983759126,projection,1,0.3250486307209309,0.6104738154613466,0.2628428927680798,0.06533665835411472,6.2234676905427095,0.2628428927680798,0.2838333333333333,6.371414493442626
fru-F-400214,1173045815,projection,1,0.3225903170873185,0.6399002493765586,0.2483790523690773,0.035910224438902745,6.207948120441119,0.2483790523690773,0.2314436002337814,6.26457548981525
fru-F-400229,5813087817,projection,1,0.3406697183614339,0.5652492668621701,0.2873900293255132,0.0718475073313783,5.943941779996896,0.2873900293255132,0.172,5.802490464287391
fru-F-400229,1700644008,projection,0,-0.6751889210432005,1.0,1.0,0.9329178885630498,50.41097945589844,1.0,1.0,45.908415251350704
fru-F-400338,1141678665,projection,1,0.2882649826647423,0.661486158329286,0.3171442447790189,0.04613890237979602,7.007323808523123,0.3171442447790189,0.276,6.360670356365304
fru-F-400338,1205090786,projection,1,0.2121945923986498,0.7231665857212239,0.41185041282175816,0.047595920349684316,8.103486129922633,0.41185041282175816,0.3576666666666667,7.115699177518104
fru-F-400437,1173745330,projection,1,0.4036126391145456,0.5136729222520108,0.15603217158176944,0.032707774798927614,5.155618987169635,0.15603217158176944,0.10828463389480922,4.86222696735283
fru-F-400437,1141678665,projection,1,0.3181938498288467,0.5989276139410188,0.23163538873994638,0.03163538873994638,6.099378666680898,0.23163538873994638,0.2585,6.084774305656213
fru-F-400475,5901203987,projection,0,-0.7226543450594277,0.9918032786885246,0.9868852459016394,0.9726775956284153,45.62718014801988,0.9868852459016394,0.9726666666666667,51.9523176899426
fru-F-400475,519591210,projection,0,-0.3992952881402006,1.0,0.9704918032786886,0.733879781420765,30.800942695223945,0.9704918032786886,0.9668803418803419,31.93961650731591
fru-F-500083,1261130127,projection,0,-0.7412803212036516,1.0,1.0,0.9636617749825297,51.05926918194594,1.0,1.0,58.713195852251275
fru-F-500083,1261129711,projection,0,-0.7212199904809977,1.0,1.0,0.9643605870020965,47.639733699381736,1.0,1.0,58.7065708966129
fru-F-500115,1206114100,projection,1,0.3854754307135442,0.5103229221810481,0.1656961355214399,0.05240868184224457,5.118683333071819,0.1656961355214399,0.19789356984478937,4.810668009792666
fru-F-500115,1173745330,projection,1,0.3083405424396781,0.6304923239809423,0.25780836421386977,0.08046585494970884,6.4656634706807505,0.25780836421386977,0.2409762805087659,6.533215061955522
fru-F-500297,1051630846,projection,1,0.3056988415801673,0.6705998033431662,0.2866273352999017,0.035398230088495575,6.844046995742575,0.2866273352999017,0.23787568306010928,6.607359624438824
fru-F-500297,948035783,projection,0,-0.7858037132138149,1.0,1.0,1.0,59.12216327617097,1.0,1.0,48.19454642205822
fru-F-500435,1142011140,projection,1,0.3367702147077589,0.4882062534284147,0.1991223258365332,0.12068019747668678,4.915428955859792,0.1991223258365332,0.28833333333333333,5.419860357290195
fru-F-500435,1510648834,projection,0,-0.3070381456267737,0.8705430608886451,0.827756445419638,0.7975863960504662,61.71605367833563,0.827756445419638,0.6593333333333333,13.303743995401048
fru-F-500584,862705904,projection,1,0.242128646694652,0.6990291262135923,0.37540453074433655,0.17637540453074432,7.879822191405976,0.37540453074433655,0.425,8.872335607037005
fru-F-500584,1205090786,projection,1,0.3291996353566959,0.622437971952535,0.24271844660194175,0.041531823085221145,6.32658220504444,0.24271844660194175,0.23,6.210762366115841
fru-F-600168,1101133698,projection,0,-0.879241260740483,1.0,1.0,1.0,71.388674574092,1.0,1.0,54.33468584070842
fru-F-600168,977343309,projection,0,-0.7952479915402106,1.0,1.0,1.0,54.252014693713136,1.0,1.0,49.31065712883283
fru-F-600186,609587511,projection,0,-0.2434768879129805,0.96843853820598,0.8781838316722038,0.5376522702104097,21.039320991590508,0.8781838316722038,0.8362934362934363,23.704114461284192
fru-F-600186,550280614,projection,0,-0.2697807708610734,0.9545957918050941,0.840531561461794,0.5526024363233666,21.674821006187635,0.840531561461794,0.849,23.91744957990253
fru-F-700104,1142365351,projection,1,0.4235848925671134,0.4887640449438202,0.16573033707865167,0.06292134831460675,4.875787253602076,0.16573033707865167,0.10766666666666666,4.7067551408509525
fru-F-700104,1173745330,projection,1,0.3812509289857044,0.548876404494382,0.14831460674157304,0.03258426966292135,5.4823265523336,0.14831460674157304,0.1705053282915091,5.6874291545843905
fru-F-700114,1224945418,projection,0,-0.8817560711314733,1.0,1.0,1.0,73.42733406775973,1.0,1.0,60.458622515112
fru-F-700114,1224258912,projection,0,-0.8817283324689646,1.0,1.0,1.0,70.11425307195141,1.0,1.0,60.0482029342759
fru-F-700163,1142356576,projection,1,0.3889039803466555,0.555688622754491,0.24610778443113773,0.08742514970059881,5.5832369938314494,0.24610778443113773,0.1475,5.000580485394849
fru-F-700163,862705904,projection,1,0.1503345418805204,0.8167664670658683,0.4431137724550898,0.07604790419161676,9.019773658458092,0.4431137724550898,0.5848333333333333,11.102736906681407
fru-F-700245,1204175835,projection,1,0.3625138252199836,0.5361977633902295,0.14479105356091818,0.005885815185403178,5.280868274101133,0.14479105356091818,0.2365,6.500159655612185
fru-F-700245,1100792636,projection,0,-0.8484211125946084,1.0,1.0,1.0,62.28211673060747,1.0,1.0,55.325755950609235
fru-F-700257,1141337605,projection,0,0.2952326134285284,0.6786064769381747,0.3086359175662414,0.1182531894013739,6.7032040649277285,0.3086359175662414,0.263,6.902214901604631
fru-F-700257,1224258912,projection,0,-0.8549693435915284,1.0,1.0,1.0,75.65794620266368,1.0,1.0,54.4679270301383
fru-M-400031,1290416713,projection,0,-0.822223448347857,1.0,1.0,1.0,70.01042337585,1.0,1.0,48.002459222056785
fru-M-400031,1198006801,projection,0,-0.651380876660054,1.0,1.0,0.9737954353338969,54.242434809748325,1.0,1.0,37.84806110668699
fru-M-400362,955464899,projection,1,0.2647495452866504,0.7225856098499422,0.415929203539823,0.06925740669488265,8.24428446293749,0.415929203539823,0.24286513710128707,6.884014626859259
fru-M-400362,1469403612,projection,1,-0.438222688020542,0.9322816467872258,0.8522508657175837,0.7264332435552135,43.12320981161189,0.8522508657175837,0.8453333333333334,35.85184477955462
fru-M-400401,955464899,projection,1,0.2191025022225318,0.7463182897862233,0.3648456057007126,0.08076009501187649,8.34094665054902,0.3648456057007126,0.38668158925573587,7.8831438499274125
fru-M-400401,829261936,projection,1,0.1492553639758627,0.8109263657957244,0.5140142517814726,0.18859857482185274,10.228569890990865,0.5140142517814726,0.46724092926128946,9.426634171905508
fru-M-500174,266187383,projection,0,-0.6721936925512318,0.9814163736815671,0.9673530889000502,0.952787543947765,65.32201641010478,0.9673530889000502,0.9751278475127848,41.911767753146584
fru-M-500174,977343309,projection,0,-0.7449551792041966,1.0,1.0,0.9909593169261678,49.118514952271425,1.0,1.0,46.1373193666769
fru-M-500374,737832306,projection,0,-0.6153760419255062,1.0,0.9723218862121988,0.8390568939005638,38.932366084462736,0.9723218862121988,0.9871666666666666,48.889113607458555
fru-M-500374,1224258912,projection,0,-0.8752491994831517,1.0,1.0,1.0,82.63235334857958,1.0,1.0,56.14312263122203
fru-M-500377,1100792636,projection,0,-0.7203424356138199,1.0,1.0,0.9832112332112332,53.39356546619523,1.0,1.0,43.66864040152348
fru-M-500377,5813057274,projection,0,-0.7254548415527564,1.0,1.0,0.9862637362637363,55.36138007754318,1.0,1.0,44.316136502246934
fru-M-500383,5813034306,projection,1,-0.7256332658133,1.0,1.0,0.970682302771855,59.52969437741959,1.0,1.0,52.80989961163233
fru-M-500383,1205090786,projection,1,0.2479284762808049,0.7302771855010661,0.30650319829424305,0.028784648187633263,7.428045895545994,0.30650319829424305,0.38166666666666665,8.07071706537641
fru-M-700067,1228683492,projection,0,-0.6782312144387583,1.0,1.0,1.0,54.56202439195176,1.0,1.0,34.790462548967035
fru-M-700067,550617370,projection,0,-0.4879943183677135,0.9993560849967804,0.9935608499678042,0.7649710238248552,29.74523254237535,0.9935608499678042,0.9955210510600179,38.70013584723954
fru-M-700270,1204175835,projection,1,0.2206670526895728,0.7609359104781281,0.33519837232960326,0.0671414038657172,8.072015550257412,0.33519837232960326,0.4315,8.384275507993886
fru-M-700270,1510648834,projection,0,-0.6138498547238722,0.9933875890132248,0.9867751780264497,0.939471007121058,45.945799269763185,0.9867751780264497,0.9848333333333333,42.870910222359
G0239-F-000001,300972942,projection,1,0.5135707511702099,0.29739130434782607,0.12956521739130436,0.03739130434782609,2.5229888935628972,0.12956521739130436,0.09338602329450915,3.9544264370884967
G0239-F-000001,5813068729,projection,1,0.5221390183404121,0.28652173913043477,0.13608695652173913,0.04173913043478261,2.621020617517673,0.13608695652173913,0.07540983606557378,3.787257944695974
G0239-F-000003,300972942,projection,1,0.5551236073358927,0.27581916217337205,0.10659477395271671,0.03193695562007466,2.2712332818610412,0.10659477395271671,0.06385191347753744,3.0715508198523276
G0239-F-000003,5813068729,projection,1,0.5651625100757107,0.23807548734964745,0.13396930734135212,0.044379925342181666,2.2676059654893863,0.13396930734135212,0.05061475409836066,2.923392517476029
G0239-F-000005,300972942,projection,1,0.5894776499278734,0.20802620802620803,0.06142506142506143,0.03480753480753481,2.1026112693828773,0.06142506142506143,0.05386855241264559,2.9324187333389267
G0239-F-000005,5813068729,projection,1,0.5955835507162022,0.2035217035217035,0.06715806715806716,0.039721539721539724,2.096723312352678,0.06715806715806716,0.03770491803278689,2.734191887397297
G0239-F-000007,300972942,projection,1,0.4997948028877351,0.319706498951782,0.09853249475890985,0.04140461215932914,3.0499941322206534,0.09853249475890985,0.0632279534109817,4.15557005669428
G0239-F-000007,5813068729,projection,1,0.4951243731427685,0.3333333333333333,0.09276729559748427,0.04716981132075472,2.947380306597293,0.09276729559748427,0.05901639344262295,4.412438264693978
G0239-F-000008,300972942,projection,1,0.4655931909482209,0.38976744186046514,0.19534883720930232,0.053023255813953486,3.266354530383195,0.19534883720930232,0.14288685524126457,4.168974275443304
G0239-F-000008,267896360,projection,0,0.1211111690951077,0.813953488372093,0.5683720930232559,0.18651162790697676,11.350112516115079,0.5683720930232559,0.4347626691125889,8.894521856120944
G0239-F-000009,5813068729,projection,1,0.489135512695489,0.3467548076923077,0.18629807692307693,0.061899038461538464,3.030650145349687,0.18629807692307693,0.05614754098360656,3.95784051524382
G0239-F-000009,300972942,projection,1,0.4940878016779785,0.37319711538461536,0.1658653846153846,0.054086538461538464,2.9938069250654613,0.1658653846153846,0.05969217970049917,3.8938915893409414
G0239-F-000011,676573560,projection,0,-0.5012170399629218,1.0,1.0,0.9029177718832891,34.4045127745546,1.0,1.0,36.44923546211251
G0239-F-000011,636667489,projection,0,-0.5057045896717446,0.986737400530504,0.9427055702917772,0.846684350132626,48.31946251460838,0.9427055702917772,0.9102290889717635,29.57676533052024
G0239-F-000012,300972942,projection,1,0.4685702517458884,0.4218978102189781,0.1464720194647202,0.036982968369829686,3.7991529503887316,0.1464720194647202,0.08839434276206323,4.108643981860319
G0239-F-000012,5813068729,projection,1,0.4730291817773632,0.39659367396593675,0.14549878345498785,0.040875912408759124,3.6704343599089064,0.14549878345498785,0.05204918032786885,4.158202585847733
G0239-F-000013,300972942,projection,1,0.4834444461687129,0.35624438454627133,0.1307277628032345,0.04537286612758311,3.2166240744886876,0.1307277628032345,0.07508319467554077,4.369584774718006
