group,bin,cable_lo,cable_hi,n_pos,n_neg,auc,pos_median,neg_median
projection,1,180.83068104570464,1445.5784161117915,13,41,0.9606003752345216,0.3521866387446078,-0.6869364245656756
projection,2,1447.4901564200727,1754.4503233426417,37,17,0.9507154213036566,0.345297960645134,-0.5694746194111477
projection,3,1777.5629716368228,2148.7687299079475,22,32,0.9545454545454546,0.3238194739041247,-0.664460749028339
projection,4,2175.9190446195544,8044.5511219267555,26,28,0.9478021978021978,0.3587053302794778,-0.13190304393247596
dense,1,754.6857029217058,3485.151091652805,122,52,0.6070302648171501,0.2966367180091954,0.2738039986917806
dense,2,3501.8761443381263,4816.7665864605415,69,100,0.8771014492753623,0.3627480973624614,0.1082083771449408
dense,3,4865.788056131909,6971.83919540181,48,124,0.8936491935483871,0.35508961913639264,0.11079892570088555
dense,4,7054.725461145159,16960.48355314401,60,107,0.8838006230529595,0.38702983077140946,0.1424053917919266
