test,n,value,p
spillover_FC_haspos,1155,-0.02953806653683502,1.478059072509547e-22
spillover_FC_negonly,353,0.04948296579745043,2.4806609512275984e-09
spillover_FC_control,213761,9.337334691064496e-05,0.6384827806864097
spillover_FC_haspos_std,346,-0.011733719012973664,3.5875925922950766e-08
spillover_FC_haspos_used,30,-0.03190558390370373,0.0005087671596922808
spillover_EM_haspos,4911,-0.0022632104531441896,0.09427880489749811
spillover_EM_negonly,4409,0.009390675791740128,2.849871724509544e-11
spillover_EM_control,205949,5.76238552542819e-05,0.7771387514381394
