group,label,test,method,n,rho,p
dense,0,EM cable,CNN,383,-0.05028018200111465,0.32639202863384253
dense,0,EM cable,CNN_foldrank,383,-0.06266040135120123,0.22114749240175466
dense,0,EM cable | EM 密度,NBLAST,383,-0.06762260844548079,0.18663914609660828
dense,0,EM cable | EM 密度,CNN,383,0.012695640512940946,0.8044002318478864
dense,0,EM cable | EM 密度,CNN_foldrank,383,0.013966340057969678,0.7852786831527747
dense,0,EM 密度 | FC 密度,NBLAST,383,0.5132424041246093,4.0123713028395405e-27
dense,0,EM 密度 | FC 密度,CNN,383,-0.069994163523849,0.1716213994524651
dense,0,EM 密度 | FC 密度,CNN_foldrank,383,-0.08988472991164759,0.07893709828274419
dense,0,FC 密度 | EM 密度,NBLAST,383,0.2663307099781961,1.2163389759762546e-07
dense,0,FC 密度 | EM 密度,CNN,383,-0.025422338435445592,0.6199092834328146
dense,0,FC 密度 | EM 密度,CNN_foldrank,383,-0.02251194564151168,0.6605288864029726
dense,0,FC cable,NBLAST,383,-0.05630343294937115,0.27170248142286135
dense,0,FC cable,CNN,383,0.05807092549800677,0.2569150967973065
dense,0,FC cable,CNN_foldrank,383,0.06749944018873132,0.18744471791973671
dense,0,FC 第二 compartment 佔比,NBLAST,383,-0.2168890330718302,1.853850862825074e-05
dense,0,FC 第二 compartment 佔比,CNN,383,0.09631600808643098,0.05967861678736396
dense,0,FC 第二 compartment 佔比,CNN_foldrank,383,0.10970468848617418,0.03183886072243583
dense,0,FC 第二 compartment | FC cable,NBLAST,383,-0.21423789072370716,2.355611319579751e-05
dense,0,FC 第二 compartment | FC cable,CNN,383,0.09315875623700244,0.0685831817447781
dense,0,FC 第二 compartment | FC cable,CNN_foldrank,383,0.10608998890772572,0.03795914653662913
dense,0,孤兒率 (空間不重疊),NBLAST,383,-0.9176894721983323,8.162041990269688e-155
dense,0,孤兒率 (空間不重疊),CNN,383,-0.014757918269218212,0.7734310974335366
dense,0,孤兒率 (空間不重疊),CNN_foldrank,383,0.007508652821106316,0.8835511740566478
dense,0,孤兒率 | EM 密度,NBLAST,383,-0.8598939214524906,2.5935858033622385e-113
dense,0,孤兒率 | EM 密度,CNN,383,-0.10229164756002104,0.04543614428080957
dense,0,孤兒率 | EM 密度,CNN_foldrank,383,-0.09129941163839889,0.07431755688284565
dense,1,EM 密度,NBLAST,299,0.38424410291171396,5.886122730356278e-12
dense,1,EM 密度,CNN,299,-0.23655088409052993,3.596106622892079e-05
dense,1,EM 密度,CNN_foldrank,299,-0.2308771811510596,5.575364475309978e-05
dense,1,EM 密度 | EM cable,NBLAST,299,0.2547727459149276,8.165144816894872e-06
dense,1,EM 密度 | EM cable,CNN,299,-0.12669734426853324,0.02849090955527711
dense,1,EM 密度 | EM cable,CNN_foldrank,299,-0.13865531264993602,0.016434014733508306
dense,1,EM cable,NBLAST,299,0.345678015138508,8.113532798368332e-10
dense,1,EM cable,CNN,299,-0.25306817519838937,9.425566715098388e-06
dense,1,EM cable,CNN_foldrank,299,-0.22150711775335594,0.00011234368705255555
dense,1,EM cable | EM 密度,NBLAST,299,0.18446272077941117,0.001356100472140484
dense,1,EM cable | EM 密度,CNN,299,-0.15646481191172854,0.006709816462792546
dense,1,EM cable | EM 密度,CNN_foldrank,299,-0.12179423683251825,0.035287781296776274
dense,1,EM 密度 | FC 密度,NBLAST,299,0.2056432670685185,0.0003444628177329226
dense,1,EM 密度 | FC 密度,CNN,299,-0.13147940834288396,0.022975109486530986
dense,1,EM 密度 | FC 密度,CNN_foldrank,299,-0.12853991946946852,0.026244075303989124
dense,1,FC 密度 | EM 密度,NBLAST,299,0.02945104259011102,0.6119912903671527
dense,1,FC 密度 | EM 密度,CNN,299,-0.0054166695393435245,0.9256880054862701
dense,1,FC 密度 | EM 密度,CNN_foldrank,299,-0.004858996773375332,0.9333200257347282
dense,1,FC cable,NBLAST,299,0.283777525167994,6.057903235947932e-07
dense,1,FC cable,CNN,299,-0.273298732057033,1.605556515369245e-06
