fc_id,em_id,score,label_c,label
Gad1-F-100046,1626482563,0.5586107091172214,0.3584184,0
Gad1-F-100046,1529928359,0.5493910690121786,0.33741587,0
Gad1-F-100046,1628140423,0.5499276410998553,0.30028874,0
Gad1-F-100046,1438524573,0.6063675832127352,0.34684932,0
Gad1-F-100046,1783690466,0.5267727930535456,0.3018521,0
Gad1-F-100046,1782369340,0.5799207397622193,0.34313178,0
Gad1-F-100046,1562673627,0.6570188133140377,0.35550275,0
Gad1-F-100046,1281303666,0.6390738060781477,0.36980563,0
Gad1-F-100046,1220257051,0.6043415340086831,0.37381387,0
Gad1-F-100046,1817112855,0.5875542691751086,0.30409458,0
Cha-F-400250,1845431908,0.6094861660079051,0.58851475,1
Cha-F-400250,5812990726,0.6194926568758344,0.563979,1
Cha-F-400250,5901196898,0.5704314720812182,0.49526283,0
Cha-F-400250,1968215498,0.6666666666666666,0.5125431,1
Cha-F-400250,1597835331,0.5585646580907244,0.50403893,1
Cha-F-400250,5812991470,0.5195025438100621,0.48315933,0
Cha-F-400250,1563122080,0.5740506329113924,0.49807262,0
Cha-F-400250,1688302103,0.5950255102040816,0.54088515,1
Cha-F-400250,1721642072,0.2775897088693297,0.6314949,1
Cha-F-400250,1595853024,0.5733422638981915,0.50445724,1
Gad1-F-100495,1405780725,0.7057356608478803,0.4612714,0
Gad1-F-100495,1406147470,0.5582959641255605,0.48094824,0
Gad1-F-100495,1749258134,0.7630922693266833,0.49092704,0
Gad1-F-100495,1188885499,0.47082294264339153,0.4636688,0
Gad1-F-100495,1625080038,0.6783042394014963,0.4708858,0
Gad1-F-100495,1498574596,0.687281795511222,0.48071533,0
Gad1-F-100495,1405824057,0.6059564719358533,0.41769454,0
Gad1-F-100495,1343045604,0.5935162094763092,0.5597604,1
Gad1-F-100495,1342704830,0.5306733167082295,0.45469964,0
Gad1-F-100495,5813069053,0.6571072319201995,0.49329618,0
fru-F-000043,1730327790,0.5519133574007221,0.2576301,0
fru-F-000043,1139909038,0.4616580310880829,0.4606016,0
fru-F-000043,5813022547,0.5481698389458273,0.33650783,0
fru-F-000043,5813050791,0.4811309640683291,0.30376145,0
fru-F-000043,1666561406,0.4738389182833628,0.5669924,1
fru-F-000043,1170939344,0.4572332015810277,0.5748079,1
fru-F-000043,5813054773,0.5938366437889186,0.2814016,0
fru-F-000043,1640572741,0.5386971046770602,0.30435312,0
fru-F-000043,5813034493,0.5226615236258437,0.24192359,0
fru-F-000043,5813075030,0.4813559322033899,0.59634864,1
VGlut-F-600303,705432922,0.44433399602385687,0.9274839,1
VGlut-F-600303,455815977,0.3298615688859592,0.18164648,0
VGlut-F-600303,488179585,0.418986083499006,0.93072224,1
VGlut-F-600303,940748411,0.4580012262415696,0.93835455,1
VGlut-F-600303,940079568,0.32135794330916284,0.8965374,1
VGlut-F-600303,5813062850,0.4766401590457256,0.9322719,1
VGlut-F-600303,5813082847,0.47716743878226353,0.9444617,1
VGlut-F-600303,798192091,0.5016307893020221,0.94214183,1
VGlut-F-600303,939738424,0.5026702269692923,0.9507267,1
VGlut-F-600303,847989021,0.43822957198443585,0.9384731,1
Gad1-F-600261,1970698685,0.5543147208121828,0.326991,0
Gad1-F-600261,5813024922,0.5212439772229523,0.2590441,0
Gad1-F-600261,5813024919,0.5395939086294417,0.3603878,0
Gad1-F-600261,1813222721,0.5512690355329949,0.22802976,0
Gad1-F-600261,1782205507,0.5269886363636364,0.20404091,0
Gad1-F-600261,1971052935,0.534517766497462,0.31608507,0
Gad1-F-600261,2033817015,0.5116751269035534,0.28146523,0
Gad1-F-600261,1970707631,0.5395939086294416,0.312703,0
Gad1-F-600261,1782878598,0.5830308529945555,0.3149442,0
Gad1-F-600261,1781860460,0.520379897111199,0.28463513,0
TH-F-000011,361312808,0.59300064808814,0.28940147,0
TH-F-000011,797442049,0.5527933707564823,0.09779194,0
TH-F-000011,792368888,0.47057522123893797,0.12264256,0
TH-F-000011,5813056887,0.6160094520750258,0.23747617,0
TH-F-000011,511271574,0.6588336192109776,0.2637602,0
TH-F-000011,360284300,0.6678857540926506,0.32086852,0
TH-F-000011,1406911688,0.6080795899909558,0.2181604,0
TH-F-000011,792692885,0.5645984836763114,0.08169782,0
TH-F-000011,947573616,0.5945734819289658,0.14810844,0
TH-F-000011,5813071348,0.7635975609756098,0.49398157,0
VGlut-F-500098,2185189361,0.639766081871345,0.7602575,1
VGlut-F-500098,790434264,0.6152343750000001,0.7624265,1
VGlut-F-500098,944249308,0.6359649122807017,0.793881,1
