fc_id,em_id,KT_score,model_predict,binary_label
Gad1-F-700369,911919917,0.46503340757238315,0.89367205,1
Gad1-F-700369,911129339,0.536659242761693,0.6372178,1
Gad1-F-700369,942522378,0.6875,0.9092417,1
Gad1-F-700369,911578496,0.6008017817371938,0.83154815,1
Gad1-F-700369,880880259,0.6321603563474388,0.8342393,1
Gad1-F-700369,911565419,0.5213363028953231,0.48431048,0
Gad1-F-700369,911911699,0.5583964365256127,0.8782694,1
Gad1-F-700369,911138168,0.5224053452115812,0.67719764,1
Gad1-F-700369,910442782,0.6093541202672608,0.6710751,1
Gad1-F-700369,910783961,0.5548329621380848,0.8331755,1
VGlut-F-000147,297912117,0.42458724917449836,0.007916004,0
VGlut-F-000147,359931311,0.5007012622720899,0.8170474,1
VGlut-F-000147,298254384,0.45668789808917193,0.016647935,0
VGlut-F-000147,5813009445,0.5048076923076921,0.023185171,0
VGlut-F-000147,5901195323,0.5772675086107923,0.58231145,1
VGlut-F-000147,297851977,0.45317919075144514,0.036238212,0
VGlut-F-000147,455746581,0.5676835081029552,0.21813671,0
VGlut-F-000147,450034902,0.4370444002650762,0.012137424,0
VGlut-F-000147,267223027,0.41960530572630206,0.013598918,0
VGlut-F-000147,488550675,0.5512878445549027,0.19868192,0
Tdc2-F-200057,1386512867,0.3442353746151215,0.14252251,0
Tdc2-F-200057,946978006,0.5048736821165707,0.32500273,0
Tdc2-F-200057,449331241,0.44239356951473635,0.6506045,1
Tdc2-F-200057,5813058367,0.4799107142857143,0.82903314,1
Tdc2-F-200057,1041446765,0.467191977077364,0.44666386,0
Tdc2-F-200057,1070107554,0.48018366360560666,0.45831534,0
Tdc2-F-200057,5813071078,0.4556204785754034,0.1981093,0
Tdc2-F-200057,5813026514,0.4311538461538463,0.7839279,1
Tdc2-F-200057,362507326,0.5668934240362813,0.6223656,1
Tdc2-F-200057,947003825,0.5562101129111439,0.7991688,1
VT4419-M-300008,2012698272,0.28983218163869695,0.0046292744,0
