fc_id,em_id,KT_score,model_predict,binary_label
VGlut-F-600467,1135294306,0.3413109098749462,0.23133811,0
VGlut-F-600467,5813047626,0.3877278790573587,0.12518513,0
VGlut-F-600467,1166885674,0.40301489921121825,0.046100598,0
VGlut-F-600467,762226975,0.39635890767230164,0.6792177,1
VGlut-F-600467,941136490,0.37698870186765043,0.31867385,0
VGlut-F-600467,1198658803,0.4182528062469497,0.8092585,1
VGlut-F-600467,978387957,0.4077134986225895,0.15975244,0
VGlut-F-600467,1255293862,0.42906036092097066,0.8762333,1
VGlut-F-600467,761544832,0.399713922441195,0.933176,1
VGlut-F-600467,761203947,0.3874658045262372,0.8483493,1
Gad1-F-500703,1135863959,0.4983783783783784,0.28819472,0
Gad1-F-500703,1104491936,0.5561561561561561,0.22397372,0
Gad1-F-500703,1197251489,0.5587987987987989,0.48769116,0
Gad1-F-500703,5813058518,0.5458258258258258,0.21531054,0
Gad1-F-500703,1291374677,0.49681681681681683,0.21029782,0
Gad1-F-500703,1167235720,0.5443843843843844,0.4345847,0
Gad1-F-500703,1323454861,0.4756756756756757,0.3554954,0
Gad1-F-500703,1196573821,0.47807807807807806,0.35945144,0
Gad1-F-500703,1229654578,0.5193993993993994,0.22777295,0
Gad1-F-500703,1195891557,0.5573573573573574,0.6989691,1
VGlut-F-000435,479935033,0.5721130809774798,0.013508515,0
VGlut-F-000435,5813027248,0.3889720558882235,0.028995678,0
VGlut-F-000435,883177120,0.44955851963178634,0.24913746,0
VGlut-F-000435,1288301181,0.5481946624803768,0.158338,0
VGlut-F-000435,1099022750,0.5374541878966658,0.37990403,0
VGlut-F-000435,947590512,0.46095717884130977,0.110350125,0
VGlut-F-000435,914203527,0.4925220358259882,0.03267481,0
VGlut-F-000435,915528488,0.45143018974794663,0.00074511877,0
VGlut-F-000435,326530038,0.4324031007751938,0.11811675,0
VGlut-F-000435,1069352248,0.49798792756539195,0.0113807395,0
5HT1A-F-400001,1198943369,0.2920991926182237,0.16329384,0
5HT1A-F-400001,1076185604,0.5637049455155071,0.22076944,0
5HT1A-F-400001,1070430962,0.5844748858447488,0.89283925,1
5HT1A-F-400001,1570111396,0.5334880636604773,0.32642865,0
5HT1A-F-400001,1321745141,0.493071743071743,0.86562437,1
5HT1A-F-400001,1106180107,0.3076602335001191,0.12872928,0
5HT1A-F-400001,915610256,0.5082248956543088,0.39046228,0
