group,n_em,mean_score,median_mean_score,rank1_per_em,top5_per_em,n_chance
pos_only,227,0.19301797,0.17396954,0.0881057268722467,0.24669603524229075,445.33920704845815
neg_only,241,0.12694599,0.10337106,0.012448132780082987,0.17012448132780084,528.4398340248963
both,75,0.07836067,0.061205965,0.0,0.0,497.76
unseen,12201,0.2807196,0.26659158,0.22227686255224982,1.1120399967215802,413.29030407343663
