check,stratum,n_fc,baseline_pct,probe_pct,delta_pp
1_正解是否見過,正解有見過,638,31.04,63.2,32.16
2_rank1落在見過的EM,基線,638,94.51,48.28,
2_rank1落在見過的EM,探針,638,90.75,84.64,
3_候選池限縮為未見過的EM,全未見候選,58,72.0,91.89,19.89
4_移除訓練正例EM,剩餘候選,214,33.97,44.68,10.71
CI_檢查3_未見候選,bootstrap,34,,,9.0
CI_檢查4_移除訓練正例,bootstrap,187,,,9.62
