em_id,mean_score,max_score,n_chance,n_rank1,n_top5,group
295802733,0.06836743,0.2461609,320,0,0,unseen
295807109,0.19566303,0.37990218,44,0,0,unseen
295807429,0.53782916,0.75018126,9,0,0,unseen
295814411,0.30748948,0.5907521,203,0,0,unseen
295814565,0.2659531,0.62153226,802,0,0,unseen
295814630,0.26653716,0.55772805,219,0,0,unseen
295814932,0.45171872,0.76680714,120,0,0,unseen
295815100,0.07906444,0.25892073,296,0,0,unseen
295815897,0.35502955,0.74915206,537,0,0,unseen
295816140,0.06467291,0.24809289,319,0,0,unseen
295819998,0.121303946,0.31241372,361,0,0,unseen
295820056,0.30615175,0.6163657,195,0,0,unseen
295820085,0.296597,0.7619537,451,0,0,unseen
295827899,0.28233293,0.8196753,541,0,0,unseen
295828029,0.17281172,0.52457297,329,0,0,unseen
295849410,0.23194966,0.53415185,764,0,0,unseen
296120593,0.12240055,0.25555748,12,0,0,unseen
296139882,0.019570135,0.24674797,774,0,0,both
296143798,0.27949196,0.8514353,320,0,0,unseen
296143923,0.15263738,0.36847675,213,0,0,unseen
296148102,0.46809128,0.762302,41,0,0,unseen
296153150,0.2004234,0.42502663,281,0,0,unseen
296164879,0.45626503,0.80802774,189,0,0,unseen
296168382,0.11524042,0.31442243,121,0,0,unseen
296199149,0.04809951,0.3910532,288,0,0,unseen
296203324,0.088169985,0.5923162,366,0,0,unseen
296203434,0.10080877,0.56991524,348,0,0,unseen
296203440,0.028260188,0.13339686,333,0,0,unseen
296489073,0.55988884,0.7380775,17,0,0,unseen
296496999,0.38339955,0.7714005,157,0,0,unseen
296502294,0.27175117,0.678325,366,0,0,unseen
296505463,0.31302798,0.5905083,218,0,0,unseen
296509709,0.2019063,0.46289024,736,0,0,unseen
296531366,0.10532856,0.6070691,352,0,0,unseen
296535868,0.20209797,0.40481627,731,0,0,unseen
296543992,0.06384217,0.24927156,849,0,0,neg_only
296544262,0.055796526,0.27168274,321,0,0,unseen
296544364,0.08702219,0.25197604,310,0,0,unseen
296690817,0.21363997,0.63520235,293,0,0,unseen
296829531,0.20963791,0.566598,282,0,0,unseen
296838079,0.31611714,0.83344424,447,0,0,unseen
296846314,0.34906828,0.76260763,291,0,0,unseen
296846768,0.14271863,0.4569944,310,0,0,unseen
296850634,0.1912365,0.49344623,340,0,0,unseen
296851132,0.113916114,0.42518595,369,0,0,unseen
296851235,0.29011545,0.7503783,906,0,0,unseen
296855409,0.31924155,0.76351136,996,0,0,unseen
296859399,0.35252875,0.68684095,1004,0,0,unseen
296868077,0.20958284,0.58663875,353,0,0,unseen
296880800,0.33654088,0.8721659,967,0,0,unseen
297165904,0.31036696,0.6633799,160,0,0,unseen
297166053,0.18437275,0.5338094,337,0,0,neg_only
297166197,0.34658623,0.7120264,139,0,0,unseen
297183244,0.059514266,0.67277366,371,0,0,unseen
297183251,0.28045192,0.58537406,404,0,0,unseen
297192193,0.4014955,0.7369612,100,0,0,unseen
297196636,0.15194103,0.538,627,0,0,unseen
297230760,0.013218291,0.08511583,334,0,0,pos_only
297239396,0.24584435,0.56023914,348,0,0,unseen
297243542,0.12748186,0.50422955,298,0,0,unseen
297247801,0.072117664,0.6012969,200,0,0,unseen
297251714,0.025777366,0.33568886,647,0,0,both
297251765,0.5324448,0.7985972,741,0,0,unseen
297498027,0.038987357,0.24850775,302,0,0,unseen
297502392,0.16610394,0.3221352,202,0,0,unseen
297519736,0.1915228,0.57497174,319,0,0,unseen
297519807,0.29070497,0.7650281,291,0,0,unseen
297519815,0.13325897,0.6638269,341,0,0,unseen
297520036,0.09261463,0.38131353,857,0,0,unseen
297524212,0.092998184,0.31637055,708,0,0,unseen
297541369,0.13841432,0.7966525,347,0,0,unseen
297558862,0.1547476,0.6172183,293,0,0,unseen
297563270,0.24710084,0.65461403,503,0,0,unseen
297572235,0.15024626,0.71395874,310,0,0,unseen
297580589,0.054123525,0.315677,318,0,0,neg_only
297588775,0.14122854,0.7536787,1037,0,0,unseen
297588995,0.40276182,0.96729773,422,11,48,unseen
297593055,0.14169376,0.4531707,344,0,0,unseen
297713859,0.13180012,0.56364596,334,0,0,unseen
297851977,0.055760704,0.2427086,305,0,0,unseen
297856167,0.048681326,0.3211786,181,0,0,unseen
297860627,0.18217163,0.50597686,268,0,0,unseen
297869179,0.2297863,0.5621727,330,0,0,unseen
297908595,0.50219536,0.90049976,494,0,1,unseen
297908801,0.03037877,0.21119328,292,0,0,unseen
297917158,0.12706736,0.46850964,239,0,0,unseen
297917363,0.080449395,0.34557086,741,0,0,unseen
297917364,0.26259735,0.8160631,646,0,0,unseen
297917475,0.06411835,0.6203652,286,0,0,both
297921527,0.21643555,0.42678767,54,0,0,unseen
297921570,0.08055898,0.26580164,372,0,0,unseen
297921608,0.05742907,0.17230608,300,0,0,unseen
297921642,0.14174458,0.5965878,836,0,0,unseen
297921808,0.25740767,0.5397751,326,0,0,unseen
297925608,0.06253656,0.3196455,327,0,0,neg_only
297925719,0.13423207,0.5195537,675,0,0,unseen
297925742,0.16157882,0.53483087,807,0,0,unseen
297929768,0.4988522,0.8200916,824,0,0,unseen
297930040,0.16702564,0.6548897,838,0,0,unseen
297934012,0.1193484,0.5337748,166,0,0,unseen
297934028,0.31901,0.7804223,666,0,0,unseen
297934349,0.19388399,0.7659787,825,0,0,unseen
297938585,0.16225934,0.31902763,326,0,0,unseen
297947227,0.16622095,0.37826192,325,0,0,unseen
298055794,0.07885912,0.6097188,812,0,0,unseen
298210543,0.29606226,0.625029,309,0,0,unseen
298214577,0.046509452,0.1520296,581,0,0,neg_only
298241038,0.17729425,0.7465019,591,0,0,unseen
298245448,0.16758126,0.41386327,349,0,0,unseen
298245502,0.10836359,0.5721859,278,0,0,unseen
298254380,0.277473,0.5761114,374,0,0,unseen
298254384,0.02550613,0.24293855,308,0,0,both
298254474,0.1311563,0.7842349,841,0,0,unseen
298254517,0.04825348,0.10211459,19,0,0,unseen
298258134,0.059621356,0.60134035,262,0,0,unseen
298258399,0.07329385,0.1754154,329,0,0,both
298258611,0.0810707,0.3512781,264,0,0,pos_only
298258714,0.11743674,0.32805568,330,0,0,unseen
298262599,0.3849565,0.73442155,328,0,0,unseen
298262837,0.08270843,0.51212317,313,0,0,unseen
298267207,0.14688264,0.55075777,351,0,0,unseen
298275356,0.16844186,0.36584213,326,0,0,unseen
298288301,0.19360054,0.76788557,1037,0,0,unseen
298405402,0.23479132,0.8352354,313,0,1,unseen
298547259,0.09080916,0.27733877,317,0,0,unseen
298547436,0.10494138,0.23893325,82,0,0,unseen
298590924,0.22063512,0.6276777,272,0,0,unseen
298591075,0.30350706,0.56987894,328,0,0,unseen
298591130,0.09040229,0.47798735,276,0,0,unseen
298595394,0.36852348,0.72650206,635,0,0,pos_only
298599672,0.029092737,0.15490179,779,0,0,unseen
298603633,0.30495176,0.5592185,328,0,0,unseen
298603693,0.422783,0.77656996,692,0,0,unseen
298603730,0.10604673,0.3420569,554,0,0,unseen
298603963,0.12957425,0.43221465,309,0,0,unseen
298607679,0.11555809,0.5007137,271,0,0,unseen
298612190,0.042050082,0.30730182,297,0,0,neg_only
298616588,0.045425616,0.3548774,755,0,0,unseen
298616761,0.093516625,0.53534853,367,0,0,unseen
298931489,0.34664425,0.6260038,325,0,0,unseen
298931773,0.03463057,0.17549045,330,0,0,unseen
298935111,0.01842976,0.14143355,292,0,0,unseen
298935146,0.14989012,0.4791648,301,0,0,unseen
298936099,0.05021899,0.2751003,297,0,0,unseen
298944444,0.28951558,0.69205576,1019,0,0,unseen
298944479,0.18449752,0.7699865,774,0,0,unseen
298944620,0.06459151,0.26264322,326,0,0,unseen
298948785,0.10298074,0.80344737,324,0,0,unseen
298957166,0.06407625,0.14446959,79,0,0,unseen
298957344,0.30355644,0.5372113,329,0,0,unseen
298961895,0.15875481,0.42983428,235,0,0,unseen
299043389,0.23004913,0.3672805,8,0,0,unseen
299082033,0.29171777,0.57987684,291,0,0,neg_only
299083134,0.13858838,0.50755274,829,0,0,unseen
299268507,0.15276636,0.40728703,319,0,0,unseen
299272434,0.14135581,0.54273814,321,0,0,unseen
299272806,0.22478496,0.600584,296,0,0,unseen
299289811,0.08494099,0.38279653,420,0,0,unseen
299293552,0.19540592,0.5011542,349,0,0,unseen
299298381,0.121971615,0.8597292,862,0,0,unseen
299604862,0.0428415,0.33069098,329,0,0,unseen
299613480,0.31989118,0.75200987,1019,0,0,unseen
299617731,0.28215516,0.6687221,365,0,0,unseen
299617849,0.3441477,0.68042326,330,0,0,unseen
299621755,0.06320622,0.19559364,66,0,0,unseen
299954299,0.25149494,0.45081884,327,0,0,unseen
299954300,0.31228304,0.69234896,840,0,0,unseen
299958696,0.3543793,0.633606,328,0,0,unseen
300972942,0.32089728,0.6132726,339,0,0,pos_only
301037686,0.18233493,0.39318204,21,0,0,unseen
301314208,0.51434255,0.9064451,929,0,5,unseen
301318641,0.41356778,0.8472691,1139,0,0,unseen
