col,variant,rank1,MRR,p@5,n_fc
score,原始,31.629392971246006,0.4568392060859987,64.57680250783699,319
score,置中,12.540192926045016,0.27503403819995936,46.08150470219436,319
probe,原始,65.29209621993127,0.6844699746573929,77.4294670846395,319
probe,置中,23.417721518987342,0.3430542007645826,47.33542319749217,319
