fc,em,similarity_score
Cha-F-000088,5813054773,0.5878386466930748
Cha-F-000088,1702336197,0.2709759465787922
Cha-F-000088,5813130064,0.5320589623211273
Cha-F-000088,1640887603,0.4825711088159403
Cha-F-000088,5813078440,0.5685876201081483
Cha-F-000088,5813054622,0.5518654258239397
Cha-F-000088,5813054777,0.5608257985643288
Cha-F-000088,5813069055,0.5569162548019676
Cha-F-000088,5813054725,0.5338508655820091
Cha-F-000088,1610530558,0.5054241051044558
Cha-F-000088,1642623277,0.549428033632874
Cha-F-000088,5813062199,0.5432732225029276
Cha-F-000088,1824101645,0.5360832158013822
Cha-F-000088,1578826464,0.5011633382491463
Cha-F-000088,1547454812,0.5605176498452018
Cha-F-000088,1702651358,0.5468091357152662
Cha-F-000088,1640909284,0.6660511375592464
Cha-F-000088,1857799548,0.3845961135818313
Cha-F-000088,1701947337,0.4129313068112106
Cha-F-000088,1639886198,0.3646237370672163
Cha-F-000088,5813132949,0.43362264896230573
Cha-F-000088,2105086391,0.40008350731242875
Cha-F-000088,5813024339,0.12524982571655338
Cha-F-000088,5813075196,0.2766117254343587
Cha-F-000088,1640922754,0.5322138839947296
Cha-F-000088,5813069085,0.5628881832783422
Cha-F-000088,1732995501,0.5606543913901222
Cha-F-000088,1670627928,0.5623815351460476
Cha-F-000088,1730327790,0.594335914103626
Cha-F-000088,5813055277,0.603887661817429
Cha-F-000088,5813054726,0.5581503043318028
Cha-F-000088,5813056598,0.5982375200676596
Cha-F-000088,1916800213,0.41135140979810647
Cha-F-000088,1672320134,0.5590543620857289
Cha-F-000088,1640572741,0.5843928688050516
Cha-F-000088,1704347707,0.6163948788509247
Cha-F-000088,1671292719,0.5863313109511656
Cha-F-000088,1699974843,0.6172102058356048
Cha-F-000088,1764388538,0.3942559639055361
Cha-F-000088,1761345315,0.5034847598243618
Cha-F-000088,1763037543,0.27324326547086025
Cha-F-000239,861937730,-0.7329207125140219
Cha-F-000239,676479217,-0.44699859259538466
Cha-F-000239,766410696,-0.5999106324078968
Cha-F-000239,795723912,-0.5986263674774629
Cha-F-000239,1854031434,-0.6220446131538933
Cha-F-000239,1011335902,-0.7190533211268736
Cha-F-000239,764727525,-0.26474671932007393
Cha-F-000239,1352676969,-0.4389647171101035
Cha-F-000239,948851462,-0.7237778109952118
Cha-F-000239,1204063702,-0.6726517893105259
Cha-F-000239,5813047489,-0.6355034233585927
Cha-F-000239,914778159,0.11349631450680558
Cha-F-000239,1010667275,-0.28678670074764234
Cha-F-000239,822505389,-0.4519480971379612
Cha-F-000239,1415808221,-0.5615268773981579
Cha-F-000239,1765040289,-0.02154516629833515
Cha-F-000239,733316908,-0.05800241852158852
Cha-F-000239,1857825571,-0.111708373681348
Cha-F-000239,1858171399,-0.14856764370684797
Cha-F-000239,5813039471,-0.17578077726244942
Cha-F-000239,1447201088,-0.014896072613624781
Cha-F-000239,697848868,0.014129098948997668
Cha-F-000239,788648194,-0.13560326750195523
