fc_id,em_id,nblast_official
5-HT1B-F-500001,5-HT1B-F-500001,0.9999999999999999
5-HT1B-F-500001,5HT1A-F-300008,0.46582627748676375
5-HT1B-F-500001,5HT1A-F-700012,0.2496829321708528
5-HT1B-F-500001,Cha-F-200058,0.306558783183216
5-HT1B-F-500001,Cha-F-300158,0.313862677227136
5-HT1B-F-500001,Cha-F-300205,0.2968712818942024
5-HT1B-F-500001,Gad1-F-000355,0.27829450201518147
5-HT1B-F-500001,Gad1-F-000361,0.310604258091837
5-HT1B-F-500001,Gad1-F-000394,0.403961935663285
5-HT1B-F-500001,Gad1-F-000492,0.35088653556836946
5-HT1B-F-500001,Gad1-F-100350,0.31021761831667505
5-HT1B-F-500001,Gad1-F-100497,0.32795036575704395
5-HT1B-F-500001,Gad1-F-100601,0.38611268461653364
5-HT1B-F-500001,Gad1-F-200281,0.2505585044989494
5-HT1B-F-500001,Gad1-F-200344,0.49304799732134086
5-HT1B-F-500001,Gad1-F-200461,0.3761910663053507
5-HT1B-F-500001,Gad1-F-200479,0.46199941490630425
5-HT1B-F-500001,Gad1-F-200614,0.3368592996875259
5-HT1B-F-500001,Gad1-F-300048,0.32176892632767795
5-HT1B-F-500001,Gad1-F-300137,0.26575281879463186
5-HT1B-F-500001,Gad1-F-300223,0.41592888360410646
5-HT1B-F-500001,Gad1-F-300276,0.2965636101382403
5-HT1B-F-500001,Gad1-F-400291,0.35940018307588123
5-HT1B-F-500001,Gad1-F-400417,0.4290085262801242
5-HT1B-F-500001,Gad1-F-400645,0.2574085238737399
5-HT1B-F-500001,Gad1-F-400667,0.26870436100078565
5-HT1B-F-500001,Gad1-F-400824,0.4278769884244761
5-HT1B-F-500001,Gad1-F-500141,0.34471366686480637
5-HT1B-F-500001,Gad1-F-500358,0.4543027320298854
5-HT1B-F-500001,Gad1-F-500382,0.338478972847414
5-HT1B-F-500001,Gad1-F-500596,-0.036527763268216995
5-HT1B-F-500001,Gad1-F-500697,0.4926127515943154
5-HT1B-F-500001,Gad1-F-600299,0.4282417888467247
5-HT1B-F-500001,Gad1-F-600475,0.37207222590911415
5-HT1B-F-500001,Gad1-F-600662,0.4013490221823095
5-HT1B-F-500001,Gad1-F-600684,0.18005852085366558
5-HT1B-F-500001,Gad1-F-700105,0.3166847557234554
5-HT1B-F-500001,Gad1-F-700252,0.33385381839546346
5-HT1B-F-500001,Gad1-F-700276,0.32483864805431406
5-HT1B-F-500001,Gad1-F-700488,0.42921554941119733
5-HT1B-F-500001,Gad1-F-800183,0.37230467592101796
5-HT1B-F-500001,Gad1-F-800493,0.384415288774264
5-HT1B-F-500001,Gad1-F-800638,0.5343146742139135
5-HT1B-F-500001,Gad1-F-900200,0.34512746946451967
5-HT1B-F-500001,Gad1-F-900485,0.5084075799708362
5-HT1B-F-500001,fru-F-400442,-0.07762380709504249
5-HT1B-F-500001,fru-F-400547,-0.2380148301330394
5-HT1B-F-500001,fru-F-500420,-0.27383692343695626
5-HT1B-F-500001,fru-F-500439,-0.21101133093870736
5-HT1B-F-500001,fru-F-500442,-0.3093811216073007
5-HT1B-F-500001,fru-F-500512,-0.38403914514700194
5-HT1B-F-500001,fru-F-600263,-0.07131563272375727
5-HT1B-F-500001,fru-F-700165,-0.10386172817490512
5-HT1B-F-500001,fru-F-800076,-0.13388815131113505
5-HT1B-F-500001,Gad1-F-000185,-0.32472704802386754
5-HT1B-F-500001,Gad1-F-000550,-0.07872170457766928
5-HT1B-F-500001,Gad1-F-000619,-0.2174985735185603
5-HT1B-F-500001,Gad1-F-100061,0.19290897924448686
5-HT1B-F-500001,Gad1-F-200064,-0.20096248732369362
5-HT1B-F-500001,Gad1-F-300166,-0.01714737756316085
5-HT1B-F-500001,Gad1-F-300249,0.009378115092528654
5-HT1B-F-500001,Gad1-F-300563,-0.16090957620699414
5-HT1B-F-500001,Gad1-F-300664,0.04850110268041286
5-HT1B-F-500001,Gad1-F-400129,-0.21219992712040447
5-HT1B-F-500001,Gad1-F-400314,-0.03808138046046784
