panel,feature,n_dense,n_projection,dense_median,dense_iqr_lo,dense_iqr_hi,projection_median,projection_iqr_lo,projection_iqr_hi,dense_mean,dense_sd,projection_mean,projection_sd,mannwhitney_p,cliffs_delta,auc,auc_signed,cut_youden,cut_threshold,cut_direction,cut_sensitivity,cut_specificity,cut_balanced_acc,cut_accuracy
neuropil_FC_sizematched,sidetot_top2,40,40,0.14583146617393256,0.09891583964704817,0.17857274034329862,0.25800090417832244,0.15318892959863073,0.2997173094721845,0.14180408675312747,0.0644558448718149,0.2343046767640753,0.07639326550419717,2.986793263176959e-06,-0.6074999999999999,0.80375,0.19625,0.5499999999999998,0.2421787662095091,<=,0.95,0.6,0.7749999999999999,0.775
neuropil_FC_sizematched,sidetot_n_above_20pct,40,40,1.0,1.0,1.0,2.0,1.0,2.0,1.175,0.5943106327545623,1.675,0.47434164902525683,2.3564698742316855e-05,-0.48250000000000004,0.74125,0.25875,0.5,1.5,<=,0.825,0.675,0.75,0.75
neuropil_FC_sizematched,sidetot_balance21,40,40,0.34540626916314204,0.16806161095581934,0.670779059442865,0.6242507560618423,0.3969892584679918,0.8362145747382832,0.4114755900986212,0.28421113363266104,0.6133833926127403,0.25311000749621987,0.0015723242610790444,-0.41125,0.705625,0.294375,0.3999999999999999,0.5100158211296484,<=,0.675,0.725,0.7,0.7
neuropil_FC_sizematched,regiontot_top2,40,40,0.20380226158431541,0.0878314271695334,0.269489494148016,0.3028848570864944,0.1731941492506887,0.34154162752100004,0.18479311845279675,0.10247775500310521,0.2509352964082019,0.11027464326250709,0.004884063010547593,-0.36624999999999996,0.683125,0.316875,0.3999999999999999,0.28974568024480807,<=,0.875,0.525,0.7,0.7
neuropil_FC_sizematched,regiontot_balance21,40,40,0.5047572327865412,0.1454668792962653,0.7182227519125224,0.715504514630628,0.43609844557773864,0.90337606150332,0.4565860575128539,0.30772543431548827,0.6211750336114983,0.3081773981651373,0.018160720694238207,-0.3075,0.65375,0.34625,0.2749999999999999,0.8012062129926176,<=,0.9,0.375,0.6375,0.6375
neuropil_FC_sizematched,regiontot_n_above_20pct,40,40,1.5,1.0,2.0,2.0,1.0,2.0,1.5,0.5063696835418333,1.675,0.47434164902525683,0.11544796262311124,-0.17500000000000004,0.5875,0.4125,0.17500000000000004,1.5,<=,0.5,0.675,0.5875,0.5875
neuropil_FC_sizematched,regiontot_top3_sum,40,40,0.7371594106707405,0.6802932139094394,0.8303653914811544,0.7743084872222072,0.6973701771517702,0.8173212014124874,0.7430680085556504,0.09136736553005076,0.761794111527089,0.07599290693054135,0.3335131899573651,-0.12624999999999997,0.563125,0.436875,0.20000000000000018,0.7414221817183135,<=,0.525,0.675,0.6000000000000001,0.6
neuropil_FC_sizematched,regiontot_top1,40,40,0.44050188175803834,0.3669302861680602,0.6482070523242253,0.4151516198821309,0.37354858121468193,0.5038179324674867,0.5001278575335742,0.1672234129525981,0.4612937265108397,0.14155017283226293,0.3432227814163519,0.12375000000000003,0.561875,0.561875,0.19999999999999996,0.42600584205675707,>=,0.6,0.6,0.6,0.6
neuropil_FC_sizematched,other_fraction,40,40,0.1767912798315493,0.13157963767668412,0.24636171791265998,0.19270638381096578,0.154570419286542,0.23961717710832725,0.19320077448907985,0.07944113968395546,0.2026833921377147,0.06568713706507932,0.3998052259800805,-0.10999999999999999,0.5549999999999999,0.445,0.19999999999999996,0.13789909785268578,<=,0.325,0.875,0.6,0.6
neuropil_FC_sizematched,regiontot_neff_simpson,40,40,3.2416967371864023,2.1109316127807265,3.919353239158938,3.0013212974904038,2.539909289458071,3.615607184493341,3.060771586098263,1.0358415715856337,3.019201728660005,0.7899366913500332,0.8136256134756809,0.03125,0.515625,0.515625,0.17500000000000004,3.153867325933417,>=,0.525,0.65,0.5875,0.5875
