variant,column,rho_vs_em_density,auc_dense,frac_false_high_dense
forward (單向),similarity score,0.601820665350346,0.8015898767034393,0.30434782608695654
inverse (反向),inverse score,0.45225863585064924,0.7954160357632127,0.3357487922705314
mean (雙向平均),mean_2way,0.5720482253748599,0.8159474367293965,0.28502415458937197
official (雙向+自比對正規化),score,0.5740795578043041,0.8143791910015142,0.27294685990338163
