fc_id,em_id,group,score,label,soma_dist_um
Cha-F-000009,1048215779,projection,0.3657734650382657,1,196.1900236343624
Cha-F-000009,1078693835,projection,0.4638950817708449,1,47.93720426051487
Cha-F-400112,1224258912,projection,-0.865296525614647,0,202.71942012507952
Cha-F-400112,5813022925,projection,-0.8119221613793822,0,221.23656000936836
Cha-F-400201,1639886198,projection,-0.7753938172541694,0,33.773879955591774
Cha-F-400201,1640555311,projection,-0.7674157860105526,0,33.59256072934969
Cha-F-800086,579916831,projection,0.0755932580147284,0,51.90643861598615
Cha-F-800086,5812981543,projection,0.1956345249806534,1,76.63140669719797
E0585-F-200015,457175171,projection,0.2721011366949297,1,66.56473496412204
E0585-F-200015,518899665,projection,0.1794890506894377,0,65.28451639268678
E0585-F-300042,457175171,projection,0.3616640610217221,1,48.715993426389126
E0585-F-300042,642664141,projection,0.3564795441419253,1,22.86298747001163
fru-F-200052,1228683492,projection,-0.796706349076046,0,200.64522275751608
fru-F-200052,456156825,projection,-0.2654480160090322,0,207.48250380125882
fru-F-400010,862705904,projection,0.2493414234178971,1,27.836510426029015
fru-F-400010,1173745330,projection,0.345297960645134,1,22.95060337483407
fru-F-400071,1205090786,projection,0.3521866387446078,1,26.89653300767407
fru-F-400071,1173745330,projection,0.2529921939187209,1,23.77044912959601
fru-F-400141,862705904,projection,0.2710010317956982,1,60.67250516242224
fru-F-400141,1142356576,projection,0.4098586893575159,1,32.06402985296151
fru-F-400196,1100792636,projection,-0.774029440740762,0,207.4427255205602
fru-F-400196,1141324564,projection,0.3432899088869561,1,4.819672021822291
fru-F-400214,983759126,projection,0.3250486307209309,1,80.04692647890239
fru-F-400214,1173045815,projection,0.3225903170873185,1,42.84300647305613
fru-F-400229,5813087817,projection,0.3406697183614339,1,97.82411332076353
fru-F-400229,1700644008,projection,-0.6751889210432005,0,160.51211017546763
fru-F-400338,1141678665,projection,0.2882649826647423,1,111.65874846317998
fru-F-400338,1205090786,projection,0.2121945923986498,1,83.3012719631488
fru-F-400437,1173745330,projection,0.4036126391145456,1,88.64264947933589
fru-F-400437,1141678665,projection,0.3181938498288467,1,120.28825069324465
fru-F-400475,5901203987,projection,-0.7226543450594277,0,227.928388107311
fru-F-400475,519591210,projection,-0.3992952881402006,0,229.9265382507012
