panel,feature,n_dense,n_projection,dense_median,dense_iqr_lo,dense_iqr_hi,projection_median,projection_iqr_lo,projection_iqr_hi,dense_mean,dense_sd,projection_mean,projection_sd,mannwhitney_p,cliffs_delta,auc,auc_signed,cut_youden,cut_threshold,cut_direction,cut_sensitivity,cut_specificity,cut_balanced_acc,cut_accuracy
morphology_FC,n_voxels,147,106,2770.0,1978.5,3924.5,990.5,805.5,1189.75,3171.8979591836733,1794.9803171153224,1181.6603773584907,756.1887631158727,3.8051110210669405e-28,0.81093569503273,0.905467847516365,0.905467847516365,0.7448337825696316,1213.5,>=,0.9523809523809523,0.7924528301886793,0.8724168912848158,0.8853754940711462
morphology_FC,occupied_volume_um3,147,106,22160.0,15828.0,31396.0,7924.0,6444.0,9518.0,25375.183673469386,14359.842536922579,9453.283018867925,6049.5101049269815,3.8051110210669405e-28,0.81093569503273,0.905467847516365,0.905467847516365,0.7448337825696316,9708.0,>=,0.9523809523809523,0.7924528301886793,0.8724168912848158,0.8853754940711462
morphology_FC,cable_length_um,147,106,4816.7665864605415,3398.309731112792,6918.630286829658,1721.6105208906197,1419.5867180643322,2099.757271602696,5573.2682516584,3180.8175243777005,2056.740111968545,1305.7736123557913,3.955363845336602e-28,0.8106789885765626,0.9053394942882813,0.9053394942882813,0.7334103452701837,2445.79229784752,>=,0.8843537414965986,0.8490566037735849,0.8667051726350918,0.8695652173913043
morphology_FC,cable_per_rg,147,106,72.52092657130781,52.966481178928916,109.66311686908378,33.12414285958214,27.12908676352245,41.182480827268044,88.05858913687854,52.14045110981298,35.83106097306742,15.272827396989417,5.30591028715546e-26,0.7774355025028878,0.8887177512514439,0.8887177512514439,0.6978565010910025,45.92671955120609,>=,0.8299319727891157,0.8679245283018868,0.8489282505455013,0.8458498023715415
morphology_FC,cable_per_span,147,106,17.28447163838399,13.362210585710436,27.66759354404516,8.671160309945265,7.473869354856985,10.606245274967552,21.87527468364871,12.595440341332273,9.24777918543743,3.4510276096202874,6.152928302289675e-26,0.7764086766782186,0.8882043383391093,0.8882043383391093,0.6780901039661149,13.985570827495511,>=,0.7346938775510204,0.9433962264150944,0.8390450519830575,0.8221343873517787
morphology_FC,n_branch_points,147,106,230.0,131.5,319.0,73.5,49.25,98.0,266.9047619047619,180.35164788539407,88.75471698113208,64.10464827077001,1.270672644702011e-25,0.7713387241689129,0.8856693620844565,0.8856693620844565,0.6993967398280065,112.5,>=,0.8503401360544217,0.8490566037735849,0.8496983699140033,0.849802371541502
morphology_FC,n_tips,147,106,240.0,137.0,338.0,76.5,52.5,103.5,279.2040816326531,188.07743737349145,93.13207547169812,66.76512854729711,1.433062845706766e-25,0.7705044281863689,0.8852522140931844,0.8852522140931844,0.6978565010910025,126.5,>=,0.8299319727891157,0.8679245283018868,0.8489282505455013,0.8458498023715415
morphology_FC,hull_volume_um3,147,106,1316070.3895557234,738416.8159357168,1794981.9471394848,396496.0234323828,295922.9600369121,676408.5406370529,1381721.448134007,804546.7456618618,624496.35525124,676439.2338798785,4.465127161985226e-19,0.6579386471569759,0.828969323578488,0.828969323578488,0.5646900269541777,586706.7738047127,>=,0.8571428571428571,0.7075471698113207,0.7823450134770888,0.7944664031620553
morphology_FC,hull_area_um2,147,106,72295.17926956099,50789.104667466774,89695.60818932978,33640.986201975036,27222.0512171257,55307.61453405972,74448.61987980899,29617.652553505854,44401.73169188233,28251.82805949545,6.916869673022643e-17,0.6154537286612758,0.8077268643306379,0.8077268643306379,0.5526248235143112,44674.87660030805,>=,0.8639455782312925,0.6886792452830188,0.7763124117571556,0.7905138339920948
morphology_FC,overdraw_2d_mean,147,106,1.6322431294770272,1.5713044577553164,1.7573083293883784,1.4988240550658507,1.4571337938456252,1.564144234378694,1.6783545386574024,0.1682086000473342,1.5327765654167744,0.12487769572316725,5.103858304200833e-15,0.5768194070080863,0.7884097035040432,0.7884097035040432,0.5427416249518675,1.5474435399696802,>=,0.8163265306122449,0.7264150943396226,0.7713708124759338,0.7786561264822134
