neuron_id,group,exclusive,n_pairs,sidetot_top1,sidetot_top2,sidetot_top1_2_sum,sidetot_top3_sum,sidetot_balance21,sidetot_dominance_gap,sidetot_hhi,sidetot_entropy,sidetot_neff_shannon,sidetot_neff_simpson,sidetot_n_above_thr,sidetot_n_above_10pct,sidetot_n_above_20pct,regiontot_top1,regiontot_top2,regiontot_top1_2_sum,regiontot_top3_sum,regiontot_balance21,regiontot_dominance_gap,regiontot_hhi,regiontot_entropy,regiontot_neff_shannon,regiontot_neff_simpson,regiontot_n_above_thr,regiontot_n_above_10pct,regiontot_n_above_20pct,top_region,second_region,top_region_laterality,other_fraction,neuropil_fraction,total_voxels,neuropil_voxels
5HT1A-F-200016,dense,True,1,0.17219452640146504,0.16359751755010682,0.33579204395157186,0.46289678502390885,0.9500738552437223,0.008597008851358223,0.1276640985520474,2.227353414334423,9.275285728575605,7.833055740352169,6.0,4.0,0.0,0.2334418557330349,0.16359751755010682,0.3970393732831417,0.5261852680842405,0.7008062758770974,0.06984433818292807,0.15107775232780268,2.0433936705463105,7.716752929312951,6.619108271019538,5.0,4.0,1.0,ccp_16,vmp_15,0.475266942689039,0.1653398107640655,0.8346601892359344,157264.0,131262.0
Cha-F-000088,dense,True,8,0.704213678412919,0.0775270484644315,0.7817407268773505,0.7968646952925867,0.11009023374716834,0.6266866299484876,0.5396821858468623,0.8773759811761788,2.40458175304469,1.852942391327616,2.0,1.0,1.0,0.704213678412919,0.0775270484644315,0.7817407268773505,0.7968646952925867,0.11009023374716834,0.6266866299484876,0.5396821858468623,0.8773759811761788,2.40458175304469,1.852942391327616,2.0,1.0,1.0,al_3,ms_12,1.0,0.19357253622800918,0.8064274637719908,112206.0,90486.0
Cha-F-000239,dense,True,10,0.37000771190203546,0.13452595171881937,0.5045336636208548,0.5883830712065621,0.3635760752857955,0.2354817601832161,0.21035863817571454,1.8470893508519795,6.341335233017391,4.753786241783381,5.0,2.0,1.0,0.37000771190203546,0.13452595171881937,0.5045336636208548,0.5883830712065621,0.3635760752857955,0.2354817601832161,0.21035863817571449,1.8470893508519795,6.341335233017391,4.753786241783382,5.0,2.0,1.0,al_3,dmp_10,1.0,0.19193288308289128,0.8080671169171088,85582.0,69156.0
Cha-F-000329,dense,True,7,0.38354931605471565,0.2800739577197461,0.6636232737744617,0.7642679494731331,0.7302162877010366,0.10347535833496957,0.24744985005023032,1.720940231573558,5.589781683495884,4.041222897476026,3.0,3.0,2.0,0.38354931605471565,0.2817920020943779,0.6653413181490935,0.7967308069899862,0.7346956187875943,0.10175731396033777,0.2568454932723066,1.5745415938709932,4.828527684024135,3.893391265151785,4.0,3.0,2.0,vlp_21,dlp_23,1.0,0.08830748085607697,0.911692519143923,61116.0,55719.0
Cha-F-000427,dense,True,2,0.8403509278231508,0.05685261608611584,0.8972035439092666,0.9324406222042653,0.06765342216422267,0.783498311737035,0.713031419292585,0.6716568567744979,1.957477895822759,1.4024627427948733,2.0,1.0,1.0,0.8403509278231508,0.05685261608611584,0.8972035439092666,0.9324406222042653,0.06765342216422267,0.783498311737035,0.7130314192925847,0.6716568567744979,1.957477895822759,1.4024627427948737,2.0,1.0,1.0,lh_25,dfp_5,1.0,0.04695391186401547,0.9530460881359846,34651.0,33024.0
Cha-F-000461,dense,True,1,0.24906843953569419,0.20846044554057314,0.4575288850762673,0.623810417392703,0.8369604994080292,0.04060799399512105,0.16217714349682028,2.0065613125624697,7.437697406444481,6.166097012428922,6.0,3.0,2.0,0.24906843953569419,0.20846044554057314,0.4575288850762673,0.623810417392703,0.8369604994080292,0.04060799399512105,0.16217714349682028,2.0065613125624693,7.437697406444477,6.166097012428922,6.0,3.0,2.0,dlp_23,lh_25,1.0,0.11141195078143849,0.8885880492185615,186515.0,165735.0
Cha-F-100135,dense,True,5,0.5829172977319048,0.13182251640769618,0.714739814139601,0.8008638581926292,0.22614274258219724,0.45109478132420866,0.3787697808467362,1.3955199530744147,4.037073115591081,2.6401261414374444,3.0,2.0,1.0,0.714739814139601,0.08612404405302818,0.8008638581926292,0.8329687178624184,0.12049705689993459,0.6286157700865728,0.532511067084597,1.0481408668257688,2.8523432995687346,1.8778952435201424,2.0,1.0,1.0,dfp_5,ms_12,0.631131458469588,0.11035694919691105,0.8896430508030889,53481.0,47579.0
Cha-F-200299,dense,True,8,0.9015589192247843,0.03285896166360164,0.9344178808883858,0.9475343047107087,0.036446826672022495,0.8686999575611827,0.8157478842157317,0.46355081608586135,1.5897087384478108,1.2258689471948923,1.0,1.0,1.0,0.9015589192247843,0.03285896166360164,0.9344178808883858,0.9475343047107087,0.036446826672022495,0.8686999575611827,0.8157478842157317,0.46355081608586135,1.5897087384478108,1.2258689471948923,1.0,1.0,1.0,vlp_21,dmp_10,1.0,0.04053755835337389,0.9594624416466261,176725.0,169561.0
Cha-F-300267,dense,True,4,0.5353772060249531,0.11540823582649169,0.6507854418514448,0.7274064257547352,0.21556434328493376,0.4199689701984614,0.3252788350364602,1.6036361764068268,4.97107530771235,3.074285481525138,4.0,2.0,1.0,0.6119981899282436,0.11540823582649169,0.7274064257547354,0.7889811881828174,0.1885761064751241,0.49658995410175194,0.4083981269694804,1.3241193655778156,3.7588737034648476,2.448591053589063,3.0,2.0,1.0,dfp_5,dlp_23,0.7496038871870708,0.12009502876721184,0.8799049712327881,61876.0,54445.0
Cha-F-300344,dense,True,5,0.7097624408720392,0.06175490042065944,0.7715173412926987,0.823253216037423,0.0870078449696284,0.6480075404513798,0.5167647805514326,1.1810891255075497,3.2579205557062503,1.9351163965410214,3.0,1.0,1.0,0.7097624408720392,0.09657712380653156,0.8063395646785708,0.8786371332320958,0.13606964562378576,0.6131853170655076,0.5236502061672816,1.0543169021274936,2.8700139836956833,1.909671739307111,3.0,1.0,1.0,vlp_21,spp_20,1.0,0.05499991272625718,0.9450000872737429,57291.0,54140.0
