tol,n_matched_pairs,feature,auc,cliffs_delta,p
1.25,40,region_top2,0.698125,-0.39625,0.002322762670914352
1.25,40,side_top2,0.8075,-0.615,2.25116742118465e-06
1.25,40,region_balance21,0.65375,-0.3075,0.018160720694238207
1.25,40,side_balance21,0.705625,-0.41125,0.0015723242610790444
1.25,40,region_top1,0.549375,0.0987499999999999,0.4500290465608795
1.25,40,region_top3_sum,0.6956249999999999,-0.39125,0.0026295585380153585
1.25,40,region_n_above_20pct,0.6340625,-0.26812499999999995,0.013502791916936025
1.25,40,side_n_above_20pct,0.619375,-0.23875000000000002,0.043320775934398634
1.25,40,other_fraction,0.5549999999999999,-0.10999999999999999,0.3998052259800805
1.25,40,region_neff_simpson,0.52375,0.0475000000000001,0.718216129533986
1.5,53,region_top2,0.7187611249555002,-0.4375222499110003,0.00010461191705088162
1.5,53,side_top2,0.8120327518689925,-0.624065503737985,3.110169239546104e-08
1.5,53,region_balance21,0.6934852260590958,-0.3869704521181915,0.000601325993105368
1.5,53,side_balance21,0.7290850836596654,-0.4581701673193307,4.84712573776133e-05
1.5,53,region_top1,0.5991456034175864,0.19829120683517276,0.07898961290318553
1.5,53,region_top3_sum,0.6676753292986828,-0.33535065859736557,0.002947342891300789
1.5,53,region_n_above_20pct,0.6664293342826628,-0.33285866856532575,0.0005178434980074237
1.5,53,side_n_above_20pct,0.6539693841224635,-0.30793876824492705,0.00262725400961081
1.5,53,other_fraction,0.6343894624421502,-0.26877892488430044,0.017213138649259944
1.5,53,region_neff_simpson,0.5325738697045213,-0.0651477394090424,0.5652945095812326
2.0,78,region_top2,0.7947074293228139,-0.5894148586456278,2.1062395695499064e-10
2.0,78,side_top2,0.8645627876397107,-0.7291255752794215,3.848402636609127e-15
2.0,78,region_balance21,0.7412886259040106,-0.482577251808021,1.9774125419907447e-07
2.0,78,side_balance21,0.7690664036817882,-0.5381328073635766,6.613447322783051e-09
2.0,78,region_top1,0.5879355687047995,0.17587113740959892,0.058159082731215665
2.0,78,region_top3_sum,0.7419460880999342,-0.48389217619986846,1.7989879902221172e-07
2.0,78,region_n_above_20pct,0.7080046022353714,-0.41600920447074297,1.2722721769976192e-07
2.0,78,side_n_above_20pct,0.7237015121630506,-0.44740302432610124,8.126398082539493e-08
2.0,78,other_fraction,0.688198553583169,-0.3763971071663379,4.979263760488239e-05
2.0,78,region_neff_simpson,0.5185733070348455,0.037146614069691,0.6900787614101646
