neuron_id,group,exclusive,n_pairs,side_top1,side_top2,side_top1_2_sum,side_top3_sum,side_balance21,side_dominance_gap,side_hhi,side_entropy,side_neff_shannon,side_neff_simpson,side_n_above_thr,side_n_above_10pct,side_n_above_20pct,region_top1,region_top2,region_top1_2_sum,region_top3_sum,region_balance21,region_dominance_gap,region_hhi,region_entropy,region_neff_shannon,region_neff_simpson,region_n_above_thr,region_n_above_10pct,region_n_above_20pct,sidetot_top1,sidetot_top2,sidetot_top1_2_sum,sidetot_top3_sum,sidetot_balance21,sidetot_dominance_gap,sidetot_hhi,sidetot_entropy,sidetot_neff_shannon,sidetot_neff_simpson,sidetot_n_above_thr,sidetot_n_above_10pct,sidetot_n_above_20pct,regiontot_top1,regiontot_top2,regiontot_top1_2_sum,regiontot_top3_sum,regiontot_balance21,regiontot_dominance_gap,regiontot_hhi,regiontot_entropy,regiontot_neff_shannon,regiontot_neff_simpson,regiontot_n_above_thr,regiontot_n_above_10pct,regiontot_n_above_20pct,top_region,second_region,top_region_laterality,other_fraction,neuropil_fraction,total_voxels,neuropil_voxels,source,cable_length_um,n_nodes,n_branch_points,n_tips,branch_per_100um,span_um,radius_gyration_um,hull_volume_um3,hull_area_um2,occupied_volume_um3,n_voxels,fill_ratio,cable_per_occupied_um2,cable_per_hull_um2,cable_per_rg,cable_per_span,local_density_r5,local_density_r10,revisit_r4um,revisit_r8um,revisit_r16um,overdraw_2d_mean,overdraw_2d_max,elongation,flatness,arbor_separation,arbor_balance,arbor_centroid_dist_um,bridge_fraction
Gad1-F-601324,projection,True,2,0.4759741642416069,0.4384271417417844,0.9144013059833912,0.9932571509688408,0.9211154190277364,0.0375470224998225,0.4250264613455438,0.950831453532792,2.587860450764526,2.352794686792469,3.0,2.0,2.0,0.4759741642416069,0.4384271417417844,0.9144013059833912,0.9932571509688408,0.9211154190277364,0.0375470224998225,0.4250264613455438,0.950831453532792,2.587860450764527,2.3527946867924685,3.0,2.0,2.0,0.3558692421991085,0.3277966461473148,0.6836658883464233,0.7426236467841223,0.9211154190277364,0.0280725960517936,0.2375910716240113,0.928324586299401,2.530266381429276,4.208912368485391,3.0,2.0,2.0,0.3558692421991085,0.3277966461473148,0.6836658883464233,0.7426236467841223,0.9211154190277364,0.0280725960517936,0.2375910716240113,0.9283245862994008,2.5302663814292754,4.208912368485391,3.0,2.0,2.0,mb_4,cal_18,1.0,0.2523349607302059,0.7476650392697941,18844.0,14089.0,FC,727.2073433611608,913,17,19,2.337710166872876,187.02881520110188,74.52595055569073,371597.11630813614,34844.4572151965,3480.0,435,0.0093649811779333,0.2089676274026324,0.001956977897423,9.757773472714629,3.8882101807640415,19.0,49.0,0.8152548692389695,0.8339533754141752,0.946884561668178,1.3535169165758376,1.4258967516885506,0.3612201996090696,0.1372090813978768,3.8089876069760544,0.915038297196022,132.0681507397551,0.3128785153356169
Gad1-F-600115,projection,True,1,0.5087178584008454,0.3632441000352236,0.871961958436069,0.980098626276858,0.7140384282499567,0.1454737583656217,0.4027406099886091,1.0396030844494983,2.8280942769535256,2.4829877474444,3.0,3.0,2.0,0.5087178584008454,0.4713807678760127,0.980098626276858,0.998502994011976,0.926605504587156,0.0373370905248326,0.4813346495579795,0.781608744993906,2.1849845224900983,2.0775566457106764,2.0,2.0,2.0,0.3846717272606206,0.2746703955253695,0.6593421227859901,0.7411106671993608,0.7140384282499567,0.110001331735251,0.2302777573379738,0.9974544849698354,2.711371200493691,4.34258180885582,3.0,2.0,2.0,0.3846717272606206,0.3564389399387401,0.7411106671993608,0.7550273005726462,0.9266055045871558,0.0282327873218804,0.2752160097100862,0.8023696721546996,2.2308209843898,3.633509551473421,2.0,2.0,2.0,dfp_5,mb_4,1.0,0.2438407244639765,0.7561592755360235,15018.0,11356.0,FC,963.4563382558148,214,27,29,2.8024103353639487,161.74426067523652,44.81181672263409,248379.70788579356,25192.736821555864,4448.0,556,0.0179080651872141,0.2166043925934835,0.003878965582401,21.50005085085472,5.956664763458421,13.0,38.0,0.8055655002138921,0.8192655937549447,0.9871478875571874,1.3915274522076706,1.5054005285247107,0.4712032067083421,0.3072997175674381,2.3621321914763573,0.7015129550271119,69.02064083329743,0.3506980461999072
fru-M-400031,projection,True,2,0.5644613643378948,0.3573412902561992,0.921802654594094,0.9936207428747814,0.6330659861465548,0.2071200740816956,0.4514876624569267,0.9163341157923928,2.5001084621483334,2.214899947781858,3.0,2.0,2.0,0.5674966560345714,0.4291593785368865,0.996656034571458,1.0,0.7562324358625692,0.1383372774976849,0.5062414089013747,0.7035985176062984,2.0210122860698547,1.975342163672784,2.0,2.0,2.0,0.4479830148619957,0.2836028090805161,0.7315858239425119,0.7885840274375308,0.6330659861465548,0.1643802057814796,0.2843809764971335,0.9106707256541222,2.4859893911807247,3.516409614727094,3.0,2.0,2.0,0.4503919647231749,0.3406010125755349,0.7909929772987098,0.7936469051118733,0.7562324358625692,0.10979095214764,0.3188690149875187,0.7418337765466056,2.0997825180784777,3.13608394982856,2.0,2.0,2.0,dfp_5,mb_4,0.9893028737195178,0.2063530948881267,0.7936469051118733,24492.0,19438.0,FC,1082.171633159372,197,32,36,2.957017077464582,137.64034500509942,39.93179880251724,220797.362934323,23160.29462075379,5008.0,626,0.0226814303098794,0.2160885848960407,0.00490119817908,27.10049798936565,7.862314157373543,12.0,41.0,0.7933809627268124,0.8350089762032191,1.1661332253872545,1.4357371124826006,1.5199039791564215,0.6978075023258886,0.2742298321993919,1.835226624604708,0.6548113003356416,54.541208792381376,0.3782018614772307
Gad1-F-900001,projection,True,2,0.596439533456108,0.3213014119091467,0.9177409453652547,0.9921424186617556,0.538699053108275,0.2751381215469612,0.4645655610536617,0.9063800921423244,2.4753457720520804,2.1525487118157054,3.0,2.0,2.0,0.6038674033149172,0.3957028852056476,0.9995702885205648,1.0,0.6552810816305783,0.2081645181092695,0.5212367987983304,0.6747752326234631,1.963591575038529,1.9185138161876127,2.0,2.0,2.0,0.5196277676756872,0.2799229864156594,0.7995507540913467,0.8643705209113275,0.538699053108275,0.2397047812600277,0.3526134464106429,0.9097633378511706,2.4837346578423687,2.8359667227081022,3.0,2.0,2.0,0.5260990480265268,0.3447427532356402,0.870841801262167,0.8712161728527115,0.6552810816305785,0.1813562947908866,0.3956279143969951,0.7079854385270583,2.029897782884494,2.5276275096113268,2.0,2.0,2.0,dfp_5,mb_4,0.9753990037613094,0.1287838271472884,0.8712161728527115,18698.0,16290.0,FC,1170.540189758804,262,44,46,3.75894825183802,145.80186559462217,37.20505473809786,233054.84606513145,22765.95193939827,5536.0,692,0.0237540651630683,0.2114415082656799,0.0050225953655204,31.461859094113212,8.028293636607478,12.0,44.0,0.8151394079100306,0.865784164022784,1.1255194132296191,1.4167991017054853,1.465006495317652,0.6008895967356418,0.4093993596643137,2.980100593574714,0.1419036788164223,79.06553225422537,0.373876494994505
Gad1-F-700131,projection,True,2,0.6997898235495381,0.16462192678039,0.8644117503299282,0.965198690063053,0.2352448138576517,0.535167896769148,0.5281187169437699,0.8991747608360738,2.4575741876306303,1.893513651224129,3.0,3.0,1.0,0.6997898235495381,0.16462192678039,0.8644117503299282,0.965198690063053,0.2352448138576517,0.535167896769148,0.5281187169437699,0.8991747608360738,2.4575741876306303,1.893513651224129,3.0,3.0,1.0,0.5424338864893536,0.1276047586572705,0.6700386451466243,0.7481624611654164,0.2352448138576517,0.414829127832083,0.3173145156325038,0.8944232265466285,2.445924638143893,3.151447383384581,3.0,2.0,1.0,0.5424338864893536,0.1276047586572705,0.6700386451466243,0.7481624611654164,0.2352448138576517,0.414829127832083,0.3173145156325037,0.8944232265466285,2.445924638143893,3.1514473833845824,3.0,2.0,1.0,dfp_5,mb_4,1.0,0.224861710994923,0.7751382890050769,26394.0,20459.0,FC,1479.2291642355367,349,60,62,4.0561666475125175,166.9198850029684,37.39536331084931,194270.97238123763,21915.09898399617,6904.0,863,0.0355379906497383,0.2142568314362017,0.0076142572722223,39.5564859723231,8.861910995261175,15.0,53.0,0.80392889360627,0.93859718542864,1.4445597306987663,1.4813609818268307,1.6201852839381563,0.4567075924230768,0.2724666932610918,2.3578410908561502,0.4370486107465415,59.76493862346001,0.3406918872143787
fru-F-400141,projection,True,2,0.4679693571666481,0.4024647496391695,0.8704341068058177,0.9540912623515044,0.8600237247924081,0.0655046075274786,0.3896102902780339,1.0905670714832538,2.975961176882161,2.566667321046319,3.0,2.0,2.0,0.5516265127123349,0.4071833018763184,0.9588098145886532,0.9990007771733096,0.7381503471872798,0.1444432108360164,0.4717063627738114,0.8300861549826165,2.2935163296119154,2.119962923797811,2.0,2.0,2.0,0.3607960624866252,0.3102931735501819,0.6710892360368071,0.7355874170768243,0.8600237247924081,0.0505028889364433,0.2315896598830357,1.0413325681632142,2.832989651961826,4.317982074437389,3.0,2.0,2.0,0.4252942435266424,0.3139310935159426,0.7392253370425851,0.7702118553391826,0.7381503471872799,0.1113631500106997,0.2803886828592061,0.8405064081014773,2.31754030084946,3.566477754389746,2.0,2.0,2.0,mb_4,dfp_5,0.6966891415920298,0.2290177616092445,0.7709822383907554,23365.0,18014.0,FC,1480.72485635058,313,68,72,4.592345411665066,170.38466051645773,42.75607731005847,334583.8290537367,28972.847726690416,6808.0,851,0.0203476659922694,0.2174977756096621,0.0044255720921669,34.6319154961916,8.690482182271065,16.0,48.0,0.8300027221696076,0.9348010456758712,1.2177013621304111,1.4997280731876763,1.6025160783014936,0.6121253474522379,0.3545563051334627,3.316331194174212,0.1083720983524568,101.01837699907544,0.3834342568547653
fru-F-700104,projection,True,2,0.4349553571428571,0.4034821428571428,0.8384375,0.9191964285714284,0.9276403571795134,0.0314732142857143,0.3648643694196428,1.1405042273838026,3.128345364968516,2.7407444623617554,4.0,2.0,2.0,0.4832142857142857,0.4360267857142857,0.9192410714285716,1.0,0.9023466371027348,0.0471874999999999,0.4301374083227041,0.9165767210592584,2.500715075209773,2.3248384833568467,3.0,2.0,2.0,0.3678824950913759,0.3412626491466546,0.7091451442380305,0.7774505361727836,0.9276403571795137,0.0266198459447213,0.2610119149659536,1.1062846481314432,3.023105602290508,3.8312427236528257,4.0,2.0,2.0,0.4086995922066153,0.3687887026128983,0.7774882948195136,0.8457936867542667,0.9023466371027348,0.0399108895937169,0.3077060904121187,0.9168881769915176,2.50149405905811,3.24985442654279,3.0,2.0,2.0,mb_4,dfp_5,0.6699926090169993,0.1542063132457332,0.8457936867542667,26484.0,22400.0,FC,1605.43872553218,345,79,84,4.920773290417086,152.36494229597875,39.83657972343504,340930.9274542371,28795.28203533079,7432.0,929,0.0217991370143372,0.2160170513364074,0.0047089852995154,40.30061658601011,10.536798697521322,16.0,48.0,0.8431926079475736,0.9205497279427638,1.238764448713102,1.5034065368105385,1.573959534835471,0.6239113523208636,0.4776605423749713,3.2778688333668518,0.1036458850122521,94.37820693365988,0.3898734460089584
Gad1-F-500365,projection,True,2,0.7342202299182995,0.2229773696768129,0.9571975995951124,0.9998192466199116,0.3036927621861152,0.5112428602414866,0.5906148908761617,0.6974992305669735,2.0087230678596755,1.693150673049449,2.0,2.0,2.0,0.7342202299182995,0.2229773696768129,0.9571975995951124,0.9998192466199116,0.3036927621861152,0.5112428602414866,0.5906148908761617,0.6974992305669736,2.0087230678596755,1.693150673049449,2.0,2.0,2.0,0.5743778280542986,0.1744343891402714,0.7488122171945701,0.7821549773755656,0.3036927621861152,0.3999434389140271,0.3614490051263282,0.7377217880220572,2.091165964186498,2.766642004313983,2.0,2.0,1.0,0.5743778280542986,0.1744343891402714,0.7488122171945701,0.7821549773755656,0.3036927621861152,0.3999434389140271,0.3614490051263282,0.7377217880220572,2.091165964186498,2.7666420043139834,2.0,2.0,1.0,dfp_5,mb_4,1.0,0.2177036199095022,0.7822963800904977,35360.0,27662.0,FC,1690.4307820456054,393,77,82,4.555051932195745,146.07085020241277,32.55292533014443,227147.5640721747,21745.057186692466,7680.0,960,0.0338106201198782,0.2201081747455215,0.0074419938816006,51.92869042955855,11.572677092678983,17.0,63.0,0.8418479990266959,1.0110231950033526,1.488055265885216,1.564253212825826,1.6654490463503502,0.4829409532531027,0.4026154212698279,1.9869630932437992,0.6364715556091437,46.4589439547476,0.3791599487496106
G0239-F-000011,projection,True,2,0.4179147259046936,0.3788247939806521,0.7967395198853457,0.8907918308849875,0.9064643347050756,0.0390899319240415,0.3345965232722623,1.2701017069554426,3.561214744246314,2.988674210419983,4.0,2.0,2.0,0.4179147259046936,0.3788247939806521,0.7967395198853457,0.8907918308849875,0.9064643347050756,0.0390899319240415,0.3345965232722623,1.2701017069554426,3.561214744246314,2.988674210419983,4.0,2.0,2.0,0.3594896135116809,0.3258645133452506,0.6853541268569315,0.7662577821611293,0.9064643347050754,0.0336251001664303,0.2475818303202906,1.2220786768944136,3.394235925419097,4.039068613017054,4.0,2.0,2.0,0.3594896135116809,0.3258645133452506,0.6853541268569315,0.7662577821611293,0.9064643347050754,0.0336251001664303,0.2475818303202906,1.2220786768944134,3.394235925419097,4.039068613017054,4.0,2.0,2.0,dfp_5,mb_4,1.0,0.1398015163656537,0.8601984836343463,32446.0,27910.0,FC,1697.3379090721028,374,73,77,4.300852506140482,261.3973353292521,66.58655493422236,662868.4115050888,55414.28740164691,7720.0,965,0.01164635373478,0.2198624234549356,0.0025605955565421,25.490700198393217,6.493325216701853,19.0,76.0,0.8952204161772694,1.1225779821905442,1.4532002646165263,1.599480343288504,1.75344825317366,0.4480546596457107,0.2523974198263515,4.486935179328079,0.1381282048109454,168.42208592355465,0.3108253375570388
Gad1-F-500524,projection,True,2,0.4130099334554923,0.2474201948114572,0.6604301282669496,0.8757835856881088,0.5990659661412726,0.1655897386440351,0.2923992886985613,1.3236965255441686,3.7572846371657,3.4199809597721518,4.0,4.0,3.0,0.5322113993634873,0.2480470633619442,0.7802584627254315,0.9956119201465908,0.4660686780828124,0.284164336001543,0.3911722675812429,1.0362425060629,2.8186061961003146,2.55641844495612,3.0,3.0,3.0,0.2622233107797814,0.1570890610170529,0.4193123717968343,0.5560420047148149,0.5990659661412727,0.1051342497627284,0.1178685416819838,1.1288484547510655,3.092093763309685,8.484027932559462,4.0,3.0,1.0,0.3379052750818969,0.1574870648746288,0.4953923399565257,0.6321219728745063,0.4660686780828124,0.1804182102072681,0.1576847362777552,0.9463415981854544,2.5762673767693323,6.341767907316917,3.0,3.0,1.0,mb_4,dfp_5,0.5520521880945909,0.3650920001224627,0.6349079998775373,32663.0,20738.0,FC,1707.4191831389055,405,79,80,4.626866136924094,207.2917458268672,46.82389200306054,410138.8791022501,34377.75941021469,7872.0,984,0.0191934985954781,0.2168977620857349,0.0041630268919548,36.46470017971389,8.23679291391064,16.0,46.0,0.8224562539204747,0.9005375438496337,1.100141226249295,1.490773465761613,1.646498730124306,0.541718930405651,0.425756553831364,3.1212406098863137,0.1378381908235953,102.39477283196506,0.3952887761357187
