group,features,auc_mean,auc_sd,n
projection,NBLAST 單獨,0.9665429824561403,0.024723097620420433,216
projection,soma 距離單獨,0.7139254385964913,0.07758290314111102,216
projection,NBLAST + soma,0.9657345029239766,0.025066254425141377,216
dense,NBLAST 單獨,0.8141981434969309,0.030559575097685206,682
dense,soma 距離單獨,0.8010475932466379,0.032989788291696256,682
dense,NBLAST + soma,0.8761320698245246,0.027620578660962566,682
