em_id,cph_p100,cph_p99,cph_p95,cph_p90
1005857944,0.00485630156648612,0.004973226266158931,0.0053160766976177,0.005652479472180762
1008024276,0.0027191659778381463,0.0028723352591417182,0.004686743644791695,0.00553185757041087
1008378609,0.004678946426314683,0.005084160869391758,0.005262201764928308,0.005700789214561215
1012954687,0.0045843458054071915,0.007615937363424377,0.008169448549552535,0.009166753512752005
1013346945,0.0018605933288392172,0.002069042442326542,0.0033588685438824635,0.004897510860290114
1014344148,0.0030475826391158888,0.003314855077808533,0.0046960697610792974,0.006590094545409385
1016835041,0.012173466772850396,0.013740572886981176,0.013882648483822797,0.01372228474593356
1035601661,0.003088593382437567,0.0031761934054247614,0.003506285392227648,0.004139189366581667
1036637638,0.007337963066041838,0.007666157193769026,0.00821982650871465,0.008736570432528968
1037293275,0.0032248000527195764,0.003265110492258606,0.0032818242785370056,0.003377975908403599
1042656011,0.0033577211892547813,0.0033652176240369066,0.003328069354245154,0.0032838300446394316
1043117106,0.002613771720759691,0.003867580187890002,0.004723098416347035,0.006114592445084627
1043705078,0.002821789562324683,0.003210871804526862,0.004465806062068697,0.004863773768191215
1048172314,0.007180626496388685,0.009190661109533855,0.009209139980625952,0.008900239424777807
1048215779,0.016002091438961006,0.01634071992013178,0.01624977241918721,0.015922545609079103
1048250312,0.0029214028349081288,0.0029516485159634307,0.0030966774547442058,0.0037550355949228695
1051630846,0.006481151638002428,0.006449991295422021,0.006960411391799712,0.007065876756895817
1051980223,0.0030389335508390074,0.003056969483466309,0.004179637049338243,0.004544087899702799
1070426862,0.002403929850931113,0.0024293605937462117,0.0035796355743480885,0.004769163844229345
1078693835,0.024366985577804954,0.0263425993181925,0.028415742326074748,0.02822550298101712
1100792636,0.01168929283043141,0.022791273787253107,0.026348584430403197,0.02974460350920679
1101133698,0.016915525344545747,0.018012238540944837,0.018494356016623862,0.01994236546195074
1105169664,0.0029485587666852374,0.0032888869114639434,0.006160106562583858,0.0063666542972349765
1107081827,0.0030152120731293175,0.003940060672037913,0.004521209006719833,0.004894236193335421
1107561814,0.010506477054101944,0.010584511189557168,0.012396032398944748,0.01348830994346351
1110972158,0.003224697082548456,0.003209872137169796,0.0031977293663502473,0.0031188444919906444
1131827390,0.005281389320838797,0.005520197203797001,0.006238158831973667,0.006942797844663391
1134107162,0.0029831417442913507,0.003149320365661851,0.003659482822158738,0.003923211618178502
1135441187,0.017764088669770164,0.01974092823859138,0.024644531465293273,0.027975818997168875
1135837629,0.0026487779024252354,0.0028870166235091797,0.0033668045092927167,0.0036417627056692463
1141324564,0.004858054533543781,0.004907382460415299,0.005131951489221289,0.006051170342764476
1141337605,0.007638352742794161,0.007823087490066858,0.009876682741907386,0.011866018405291084
1141678665,0.005738917375506728,0.005749198722927551,0.005816067574975684,0.008940359398386388
1142011140,0.006096357201157697,0.0062250301370551184,0.007122034526863678,0.009015004034243499
1142356576,0.007655970447894538,0.0076195327059781675,0.009492780232258838,0.011587971797076355
1142365351,0.008374429842436719,0.008453940171159774,0.008415245285037965,0.011937282832755488
1160073701,0.0014572698312573375,0.0015213608946691806,0.0015680275444322062,0.0015498190662469283
1167304403,0.018905754680088746,0.018760277497915513,0.019991120909540975,0.028751374828113387
1168915489,0.008518234758861317,0.00923791019323668,0.013675664171408692,0.014869538825880789
1171690479,0.006734355267511054,0.006664548279433007,0.006991716018946148,0.008557174299676451
1172372382,0.0021149551481907604,0.00210547892693505,0.0021766654400381105,0.0021665148009655864
1173045815,0.005778999672845919,0.005741242848933887,0.006232022256160847,0.008329878029822737
1173745330,0.004993360398581417,0.0049582812121111985,0.005021607746884115,0.007466339186573545
1191315642,0.0022967246287062554,0.002308867818755615,0.00231108142553814,0.002367707193577476
1192019859,0.0011886761638915033,0.0012000824632928694,0.0012848343195730994,0.0013394636220439994
1193560072,0.011208421908848168,0.011862184332985986,0.012658371614567886,0.013842051603235442
1198006801,0.018677422107013307,0.020284590388361192,0.021728733414921163,0.02118041310938161
1198330286,0.006205204741087483,0.006360458718273784,0.007041635971624564,0.008286842756540343
1198330641,0.046834813766264416,0.05880021673356858,0.06365233157109987,0.0645553234489834
1204175835,0.005295405253790341,0.005338608919216307,0.006487642975987742,0.006671272614255933
1205090786,0.00516440243422982,0.005106606583581648,0.004971361358199375,0.0048799722889305355
1206114100,0.004404424944714343,0.00436537869894059,0.004263594176719068,0.004256144043987594
1224258912,0.00911797270436284,0.010874721403724629,0.014078281658124595,0.021014929672923798
1224595289,0.024391270032283495,0.026865774433904623,0.030405941183263757,0.032846517413795115
1224595608,0.003938293422427518,0.004399152997873382,0.005867008187251877,0.006773882725541513
1224941044,0.0033615056735901423,0.0033822807902789236,0.003688979844994526,0.0038075655836642764
1224945418,0.008217342794082124,0.009832811794257988,0.013722319010313677,0.020272426103407733
1225290633,0.006783004709458696,0.010179229126300688,0.011269585480454309,0.011965161048081426
1225640135,0.002348826088297804,0.0024029938120429858,0.0024593865539206537,0.0026527424823745284
1228265278,0.004035272771117239,0.004209554082987785,0.004979918309527207,0.006058693910220897
1228683492,0.012491460242578755,0.020273986608076753,0.03504381860779272,0.03599378374981696
1261000309,0.01765664671561598,0.017438330828357627,0.022571455096358727,0.030784217901048034
1261129711,0.002274270107825342,0.002394433704796763,0.002878095254074392,0.003709288155681588
1261130127,0.002776734860392108,0.0030091518574767964,0.004071345239552957,0.005621711690099034
1261423370,0.021617500092235935,0.02128347965737403,0.029165605948325547,0.039963725976177665
1262114202,0.01599777860686809,0.015860273953609526,0.035168499698537754,0.03679058717412347
1262360335,0.013177048330753026,0.014621703678868768,0.02257741315066895,0.030025019323495685
1266871604,0.008350308580125863,0.008305585536725531,0.008287569490991397,0.008390202987877111
1289359184,0.004483614117827465,0.004787539740217102,0.005349553642376271,0.0057115041970473585
1290416713,0.010308911813513894,0.013336527302410084,0.02940099431094865,0.029601936274724537
1316245799,0.002945201517236804,0.003024916367283447,0.003033107953729206,0.0037517765447555723
1321564092,0.01642975633696662,0.01789441834539509,0.020656288995837546,0.02232351378570686
1322474586,0.010205155793003882,0.010485852699872877,0.013816275593438263,0.019510106689860234
1352684733,0.0063958813534755665,0.006556821510338035,0.006826332322182438,0.007064538768961844
1354368623,0.004652781263420965,0.004644463522050356,0.0055058725329091,0.007233053259500315
1378251040,0.0034647790488889557,0.003635783158481202,0.003968859400119085,0.004126354314054917
1383016399,0.006108724182423207,0.006843913411055407,0.007746563999875231,0.008543882183290127
1406911688,0.00393539825807378,0.004954247572890439,0.005931365692136199,0.007272404039904722
1419019956,0.0043475376782139705,0.004339750664509779,0.004315558081596724,0.004590378768407018
1443135486,0.002102515903608212,0.0022672332338113535,0.0033783262614069027,0.0039915982366956
1448929233,0.023499959786487886,0.027193014016297003,0.04696496996047841,0.06011965461981907
1449247522,0.003720603798001922,0.0038800330609545315,0.00402172335490169,0.004313135419503447
1449618949,0.0014278942329219923,0.0015097699599276868,0.0016677315265920772,0.0016761002817328712
1469403612,0.00473637474513522,0.004762646228174973,0.006441592352691761,0.01826110887391635
1479156699,0.005851971989772499,0.00584583322165499,0.006990410430882128,0.00949698977622093
1480525278,0.005465191468341516,0.0058249822549825,0.0077699008645111195,0.008279526525119171
1510648834,0.014603220732197853,0.01467726308977284,0.02721751264341057,0.0302529704193635
1572390197,0.004981037370734266,0.00785590205544235,0.011279739765901896,0.013116666997037481
1578826464,0.027438605149218878,0.02809135525567334,0.02914041992710645,0.0301763330654336
1602402027,0.0042677208948495296,0.004304393398408684,0.0042328699749613515,0.004252962415884088
1610224198,0.028343400781814763,0.028430184386428105,0.028639431618269408,0.02838038539517584
1630051981,0.003715392382805726,0.0037103269820638616,0.004022001040477494,0.0040048335123922
1639886198,0.02978419409481028,0.030267793320949088,0.030800309677015244,0.031500883188601426
