group,feature,bin,lo,hi,n,score_median,frac_reaching_true
projection,em_revisit_r16um,1,0.7585250938671135,1.6942652755871324,31,-0.5386049158917516,0.06451612903225806
projection,em_revisit_r16um,2,1.6992896255994532,2.2245161458426472,30,-0.4437174827325461,0.06666666666666667
projection,em_revisit_r16um,3,2.23299692480577,2.9566974453834094,31,-0.7365642029595043,0.0
projection,em_revisit_r16um,4,2.989271274940601,10.477414343379644,30,-0.6054218562219871,0.06666666666666667
dense,em_revisit_r16um,1,0.896545017593192,1.813063271378337,104,0.032061605401964996,0.038461538461538464
dense,em_revisit_r16um,2,1.8175792245591604,2.352452461706449,103,0.1110150229443892,0.10679611650485436
dense,em_revisit_r16um,3,2.361228820746436,3.4864699697778474,103,0.2187345590276051,0.32038834951456313
dense,em_revisit_r16um,4,3.505525660657866,10.883140013711309,104,0.3104895511010446,0.625
