em_id,n_false,n_high_false,em_density,em_cable,method
1640922516,6,6,0.0339291077626755,19619.721202161683,NBLAST
1762359683,7,5,0.0218124189258447,9249.88990811477,NBLAST
947573616,4,4,0.0156777002888211,27778.4436125121,NBLAST
859265651,3,3,0.0266176754671112,21780.23745041948,NBLAST
5813021602,4,3,0.0107103393802287,11254.008839285862,NBLAST
510987433,3,3,0.0061620888091155,5397.805262981585,NBLAST
675767414,3,3,0.0045263104226847,5117.827235106452,NBLAST
5813027276,2,2,0.0288889589258127,28337.45732385649,NBLAST
5813039309,7,2,0.0268565280090131,10247.377301463506,NBLAST
1640555311,3,2,0.0252402226461247,9681.426597203994,NBLAST
1702306037,3,2,0.0242560394618248,10835.403772351425,NBLAST
1916800213,3,2,0.0199215950928022,8419.891925732834,NBLAST
5813098368,2,2,0.0191315952296854,16488.051985101647,NBLAST
5813033371,2,2,0.0148149624710751,10637.094953231044,NBLAST
550404663,2,2,0.0148031476115297,8335.871476094011,NBLAST
604289581,2,2,0.0140319776362921,8534.214733586095,NBLAST
298612190,2,2,0.0118512678613709,5566.598874908388,NBLAST
487144598,3,2,0.006179140899506,19468.20520400547,NBLAST
5813021112,4,2,0.0054625534536694,13076.178321190964,NBLAST
5813054716,1,1,0.0656279066536399,11144.33537404038,NBLAST
1671620613,1,1,0.0584748301712367,25398.22184253619,NBLAST
1704347707,2,1,0.0415249782413878,20383.22183881129,NBLAST
1667251683,1,1,0.0320342143948245,18283.55237225388,NBLAST
1639886198,1,1,0.0297841940948102,10715.786585465834,NBLAST
1578826464,1,1,0.0274386051492188,11325.721561345756,NBLAST
5813057579,3,1,0.0269443117810214,37464.43702906006,NBLAST
950880008,2,1,0.0264839921877304,29132.309570972757,NBLAST
5813009312,1,1,0.0244545475804164,6069.478369283522,NBLAST
5813078542,1,1,0.0227718930423402,7249.4274053545405,NBLAST
1640887603,1,1,0.0207472586556197,10546.319568354296,NBLAST
1640922754,1,1,0.0205302439147423,8737.88173763898,NBLAST
1669924220,1,1,0.0200508943047957,9801.074860781997,NBLAST
5813020785,1,1,0.019896021239276,8578.432501530393,NBLAST
510049477,1,1,0.0188060090518777,10639.659432326658,NBLAST
1135441187,1,1,0.0177640886697701,17827.401585743435,NBLAST
298254384,1,1,0.0172205125450256,8090.7017315683,NBLAST
424716408,1,1,0.0163217790364334,7158.172978643741,NBLAST
328870472,1,1,0.0157092068075062,8609.940499463744,NBLAST
1670597533,1,1,0.0155216331438215,10207.953536092078,NBLAST
360259229,3,1,0.0144361022727562,6071.278200472112,NBLAST
421641859,1,1,0.0139169057525503,10268.251057093128,NBLAST
672283773,1,1,0.0134782661841587,10487.301669091765,NBLAST
857793013,2,1,0.0111469740916529,9099.022781085348,NBLAST
297251714,4,1,0.0103776723772329,14483.418914572874,NBLAST
297580589,1,1,0.0096492247047832,7078.193694430393,NBLAST
330640044,2,1,0.0088201700440544,15619.008211704546,NBLAST
5813057853,1,1,0.00876409358796,5713.31751297159,NBLAST
5813021533,1,1,0.0083341325026713,8918.24405577985,NBLAST
5813059915,2,1,0.0080482783213203,9107.495956391747,NBLAST
611629428,1,1,0.0080065116939735,7994.280794209309,NBLAST
331662710,2,1,0.007491428241166,11965.449741337308,NBLAST
361005850,4,1,0.0074370110317837,7991.507333576695,NBLAST
361312808,11,1,0.0073725653804609,17072.260396469414,NBLAST
5813023322,1,1,0.0070861497983291,9970.790216799802,NBLAST
328611004,12,1,0.0066598917914075,14254.76714618708,NBLAST
5813070613,1,1,0.0064012428181141,4487.2162556765325,NBLAST
1383016399,1,1,0.0061087241824232,3988.7820508527,NBLAST
484126552,1,1,0.0060531199753833,5666.949169791446,NBLAST
5813049380,7,1,0.0059667901423478,7939.504506242236,NBLAST
951234513,1,1,0.0059518949476643,8621.32833432101,NBLAST
5813011298,1,1,0.0056270715394623,6388.226198986528,NBLAST
422738252,2,1,0.0053233713691514,10166.17321476844,NBLAST
1131827390,1,1,0.0052813893208387,11743.51799514048,NBLAST
542376096,1,1,0.0050483350111814,8257.60674979924,NBLAST
486880919,1,1,0.0045971912567604,3893.350119298956,NBLAST
579268807,2,1,0.0034570917122179,8709.247014688182,NBLAST
1640572741,1,0,0.0400679388603649,21125.8603748839,NBLAST
1672320134,1,0,0.0294518703052594,13972.588216282027,NBLAST
5813054726,1,0,0.0272099393133129,13682.187727310707,NBLAST
5813068669,2,0,0.0255439437891369,16157.7739399417,NBLAST
5813069085,1,0,0.0251274905113265,12297.307383434854,NBLAST
330268940,1,0,0.0222252385627405,19391.90275067669,NBLAST
859839499,1,0,0.0152641620201028,25849.840077688816,NBLAST
297917475,1,0,0.0115776729246933,4427.4390875942645,NBLAST
387870860,1,0,0.0113339391827105,7023.8537687162925,NBLAST
297925608,1,0,0.0112783975449004,8173.557879517053,NBLAST
328265389,1,0,0.0111726718522152,7926.278115157926,NBLAST
393766777,1,0,0.0111608587915755,18413.17726914873,NBLAST
1107561814,1,0,0.0105064770541019,7585.331998523401,NBLAST
543692985,2,0,0.0102024433851842,18448.17898808871,NBLAST
487143497,3,0,0.0100406176418543,9583.67973663328,NBLAST
327499164,1,0,0.0099348161433268,14735.255024068265,NBLAST
5813020684,1,0,0.0093144618769043,8633.75354997127,NBLAST
296139882,2,0,0.0092306915524376,15589.799006158,NBLAST
331774819,2,0,0.0091654392986334,5892.656861420843,NBLAST
5813055949,1,0,0.0089795250863707,9141.90049381597,NBLAST
422751191,1,0,0.0089705383274206,17003.103470383438,NBLAST
1036637638,1,0,0.0087874240361337,24351.895959769685,NBLAST
423101189,1,0,0.0086651930964115,22928.422784556373,NBLAST
5813083780,1,0,0.007949119261035,16321.727476023025,NBLAST
2040301572,1,0,0.0078478480378787,1612.53272507649,NBLAST
298214577,1,0,0.0077645721867061,3619.4238332701657,NBLAST
421646999,1,0,0.0074931054668523,4316.885753649314,NBLAST
797442049,4,0,0.0072627900877114,12288.9553293062,NBLAST
915481348,1,0,0.0071817653659949,5361.389389224608,NBLAST
548712377,2,0,0.0071815574257366,15553.44421377617,NBLAST
5813009620,1,0,0.0071545708292606,10697.775254087275,NBLAST
5812987694,2,0,0.0070221367288957,10819.703469771372,NBLAST
5813055298,1,0,0.0068585911156019,7272.115957802767,NBLAST
360255138,1,0,0.0067100917046356,5840.799796684788,NBLAST
296543992,1,0,0.0066247097783533,4576.419911356323,NBLAST
390280026,1,0,0.0065025134560798,3672.438575415537,NBLAST
573333835,1,0,0.0064921551152533,8140.139319571895,NBLAST
1352684733,1,0,0.0063958813534755,17087.448585703758,NBLAST
673746277,2,0,0.0062419666066232,9572.269012015273,NBLAST
5813020996,2,0,0.0062001493530176,13635.585404688336,NBLAST
2095549849,1,0,0.0061077352307459,7018.747787861886,NBLAST
1479156699,1,0,0.0058519719897724,3081.566245834751,NBLAST
516055524,1,0,0.0056819856329669,13150.164331983488,NBLAST
953414780,1,0,0.0056183269388605,8236.148788753419,NBLAST
517514142,1,0,0.0056025529566805,9559.548653603311,NBLAST
614081151,4,0,0.0055766169098386,8043.343141374553,NBLAST
5813021583,3,0,0.0055672555347458,11941.985358768654,NBLAST
543821838,2,0,0.0055138298591699,7000.898526038392,NBLAST
1480525278,1,0,0.0054651914683415,4193.244948886948,NBLAST
610274029,2,0,0.0054607533508875,8862.45732215163,NBLAST
602368546,1,0,0.0053959558428184,3784.234975304708,NBLAST
358890923,1,0,0.0053835870393462,3205.8430341988783,NBLAST
5813126031,1,0,0.0053035489594856,5755.361527437835,NBLAST
514842241,1,0,0.0053025954015498,5216.823236458273,NBLAST
979627466,1,0,0.0053024819518936,9846.0121429711,NBLAST
5813011119,1,0,0.0051551423134414,6889.576260053494,NBLAST
5813057861,2,0,0.0050784949812218,6355.779113937557,NBLAST
329566174,1,0,0.005009193006754,27515.788437136875,NBLAST
361273559,1,0,0.0049948768964428,2724.170900497757,NBLAST
1572390197,2,0,0.0049810373707342,5534.983253914609,NBLAST
610274046,1,0,0.004926812899851,8069.282575327568,NBLAST
575768294,1,0,0.0048727490221169,8921.660032781678,NBLAST
1005857944,1,0,0.0048563015664861,22433.01057684851,NBLAST
5813064410,1,0,0.0048333536343282,24062.192096498897,NBLAST
707539688,3,0,0.0047139484118605,6930.971154295703,NBLAST
792692885,1,0,0.0046828313530984,9882.635239737989,NBLAST
329225149,4,0,0.0046532270518663,8650.684494482253,NBLAST
1354368623,1,0,0.0046527812634209,2508.889566255112,NBLAST
456847100,1,0,0.0046462168660054,8848.686280735072,NBLAST
5813024692,1,0,0.0045899628593477,7122.441869968514,NBLAST
326817334,1,0,0.0045564446807227,3759.336167016141,NBLAST
5813055800,2,0,0.0044265336062419,9291.17238669071,NBLAST
576825965,2,0,0.0043594669953577,17135.939090086224,NBLAST
5813069496,1,0,0.0042940750478268,5834.34833634361,NBLAST
5813021943,2,0,0.0042396114466628,6091.8925918312125,NBLAST
736860990,2,0,0.0042087634387646,11023.235730647548,NBLAST
823058891,1,0,0.0041344311089739,9334.934672970316,NBLAST
329897255,4,0,0.0040497666400079,8841.358768523294,NBLAST
1228265278,1,0,0.0040352727711172,5334.627121330346,NBLAST
669325882,1,0,0.0039734589202448,25890.58785845619,NBLAST
1406911688,2,0,0.0039353982580737,9878.924605368216,NBLAST
981000564,1,0,0.0038377253240329,8404.486334361558,NBLAST
1630051981,1,0,0.0037153923828057,4066.023044789274,NBLAST
329970706,3,0,0.0036779189118565,5569.318879353736,NBLAST
5813020673,1,0,0.0036610664163159,5307.458961705223,NBLAST
393063351,2,0,0.0036493165421767,7662.092870312121,NBLAST
5813060787,1,0,0.0036108521024408,2902.5249738922403,NBLAST
1733677514,1,0,0.0035662085023254,6453.832338896051,NBLAST
5813011660,1,0,0.0035488963661128,9543.61595608756,NBLAST
