group,source,n_pos,n_neg,nblast_auc,pos_median,neg_median,median_gap,best_balanced_acc,mannwhitney_p
dense,nblast_official.csv,299,383,0.8338325314145498,0.3353374278569212,0.1512891485757118,0.18404827928120943,0.760581398394998,1.085663977883205e-50
projection,nblast_official.csv,98,118,0.9538222068488412,0.3497827514689213,-0.6054218562219871,0.9552046076909084,0.9201833275683154,1.758299528170442e-30
