em_id,n_high_false,em_cable_length_um,em_cable_per_hull_um2,em_revisit_r16um,em_fill_ratio,em_hull_volume_um3,group,is_true_partner
1078693835,1,13996.164768108512,0.0243669855778049,8.099632388951685,0.0751126643038864,574390.4892715632,projection,True
1141337605,1,2318.125343835483,0.0076383527427941,1.811035424871471,0.033899535772231,303484.98189250904,projection,True
5813020455,1,742.1611682516987,0.0132007818220763,1.4962926779268118,0.0611870997978997,56221.00101757202,projection,False
5813020585,1,672.2404654590881,0.0128784071140858,1.556112188562704,0.0596179566662434,52199.03824315505,projection,True
5813087817,1,3161.455723123648,0.0062531361524346,1.7485927672144068,0.0285929470902982,505579.2239375354,projection,False
799586652,1,6311.6562234553485,0.0132042677303838,3.4909603005837107,0.0592801821204583,478001.2305363833,projection,False
1051980223,1,3165.574901734656,0.003038933550839,1.4441491340030363,0.0143845531188724,1041672.9582194004,dense,False
1135441187,2,17827.401585743435,0.0177640886697701,4.352392965269393,0.0777070446391465,1003564.0959212848,dense,True
1168915489,1,7531.61727344781,0.0085182347588613,2.835699274641495,0.0354680584978269,884175.8282856491,dense,False
1262360335,1,11187.640039367498,0.013177048330753,4.089049721991045,0.0511363190373362,849024.740484363,dense,False
1321564092,2,28609.672252317425,0.0266060785890412,5.805534142109867,0.1129873874732108,1075305.8612741758,dense,True
1383016399,1,3988.7820508527,0.0061087241824232,1.7556259026640404,0.0281791593332502,652964.8305827471,dense,False
1578826464,1,11325.721561345756,0.0274386051492188,4.424109984900687,0.1123736138441797,412765.9368890397,dense,False
1639886198,1,10715.786585465834,0.0297841940948102,5.232317668684489,0.1032628235160292,359780.9815284878,dense,False
1640555311,2,9681.426597203994,0.0252402226461247,4.654532017886536,0.0888074640224922,383571.362778388,dense,False
1640887603,1,10546.319568354296,0.0207472586556197,4.019176664769168,0.0870941402115058,508323.520876222,dense,True
1640922516,6,19619.721202161683,0.0339291077626755,6.131162875675526,0.1467031075551759,578256.3260842594,dense,False
1640922754,1,8737.88173763898,0.0205302439147423,3.231465139659386,0.0921594399524849,425610.2252815653,dense,False
1666561406,1,5916.699236617437,0.00682889025245,2.4652913485905987,0.0289835743142427,866421.7783401458,dense,False
1667251683,2,18283.55237225388,0.0320342143948245,6.419786647561054,0.1373769512144193,570750.7650072974,dense,False
1668944259,1,3240.545812689972,0.0078116674648843,1.701967338597674,0.0374511186538978,414834.0706074752,dense,True
1669924220,1,9801.074860781997,0.0200508943047957,3.781278881474536,0.0940406559989595,488809.86113610887,dense,False
1670597533,1,10207.953536092078,0.0155216331438215,3.9382536790478695,0.0688258621219103,657659.7605101475,dense,True
1671620613,1,25398.22184253619,0.0584748301712367,9.9211804072407,0.2038197712223116,434344.5165750882,dense,True
1702306037,2,10835.403772351425,0.0242560394618248,4.129345949829049,0.1078105518746143,446709.5211237853,dense,False
1704347707,1,20383.22183881129,0.0415249782413878,6.886223594193004,0.1655521319687965,490866.5266558858,dense,True
1730651751,1,3052.353754899736,0.0071112693152585,1.5766290056300287,0.0347228291296448,429227.6975575012,dense,True
1762359683,5,9249.88990811477,0.0218124189258447,3.8034086793235073,0.096305923398072,424065.2969100504,dense,True
1916800213,2,8419.891925732834,0.0199215950928022,3.629263761091739,0.0858201154575071,422651.4938442335,dense,False
2135408892,1,5867.890242399906,0.0185743082664729,3.00609131270487,0.0825793486310275,315914.33490912704,dense,False
297251714,1,14483.418914572874,0.0103776723772329,2.8376604456451555,0.0472158613241567,1395632.6995201092,dense,True
297580589,1,7078.193694430393,0.0096492247047832,2.485320819673593,0.0439506204424724,733550.5090809667,dense,False
298254384,1,8090.7017315683,0.0172205125450256,3.586303959028501,0.0724177875135165,469829.3218865532,dense,True
298612190,2,5566.598874908388,0.0118512678613709,2.5771291087538835,0.0518112515658978,469704.9244032924,dense,False
328611004,1,14254.76714618708,0.0066598917914075,3.170544294080756,0.0275202156624498,2140390.203423151,dense,True
328870472,1,8609.940499463744,0.0157092068075062,3.927892563623971,0.0663695767543848,548082.4464892602,dense,True
330640044,1,15619.008211704546,0.0088201700440544,4.244295709702322,0.0361909700104878,1770828.4685773214,dense,False
331662710,1,11965.449741337308,0.007491428241166,3.9991476408212927,0.0306382576781214,1597218.762049411,dense,True
360259229,1,6071.278200472112,0.0144361022727562,2.4639927761656297,0.0650748053301315,420562.1493780762,dense,False
361005850,1,7991.507333576695,0.0074370110317837,2.2806813166600155,0.033509559843276,1074559.0263915462,dense,False
361312808,1,17072.260396469414,0.0073725653804609,3.43092049768276,0.0323779891548369,2315647.202222849,dense,True
421641859,1,10268.251057093128,0.0139169057525503,3.1305643466747344,0.0619983805620821,737825.7235960251,dense,False
422738252,1,10166.17321476844,0.0053233713691514,2.8114417076240152,0.0232955056408806,1909724.591765427,dense,True
424716408,2,7158.172978643741,0.0163217790364334,2.8863600720337663,0.06997354723956,438565.7324894104,dense,False
484126552,1,5666.949169791446,0.0060531199753833,2.361228820746436,0.0264472551455773,936203.0147820644,dense,False
487144598,2,19468.20520400547,0.006179140899506,3.2020074348693206,0.0268390511085596,3150632.995852514,dense,False
510049477,1,10639.659432326658,0.0188060090518777,4.925768255706786,0.0681845701734641,565758.4978809896,dense,True
