rule,feature_1,direction_1,threshold_1,feature_2,direction_2,threshold_2,balanced_acc_insample,balanced_acc_cv_mean,balanced_acc_cv_sd,n,precision_dense,recall_dense
(cable_length_um >= 1999) AND (side_top2 <= 0.3164),cable_length_um,>=,1998.9480611655652,side_top2,<=,0.3163938334737513,0.8946238689650617,0.8812012987012987,0.07067731901598044,250,0.9066666666666666,0.9251700680272109
cable_length_um >= 2474,cable_length_um,>=,2474.23277367312,,,,0.8742157056997556,0.8705562770562775,0.06595624494084716,250,,
(cable_length_um >= 1999) AND (region_top2 <= 0.3595),cable_length_um,>=,1998.9480611655652,region_top2,<=,0.35946462799089096,0.8834621227131629,0.8624329004329006,0.07161791982918038,250,0.8896103896103896,0.9319727891156463
(cable_length_um >= 2398) AND (arbor_separation <= 3.815),cable_length_um,>=,2398.040171241239,arbor_separation,<=,3.815003149750439,0.8722343306254541,0.8475303030303029,0.07569162308506157,250,0.9516129032258065,0.8027210884353742
(n_branch_points >= 81) AND (side_top2 <= 0.2936),n_branch_points,>=,81.0,side_top2,<=,0.293603560444198,0.8703190013869626,0.8463809523809525,0.07817067775253857,250,0.9130434782608695,0.8571428571428571
n_branch_points >= 111.9,n_branch_points,>=,111.85115577889445,,,,0.8475001651145895,0.8391147186147186,0.07384010801392192,250,,
side_top2 <= 0.285,side_top2,<=,0.285013150826952,,,,0.8135526055082227,0.7789393939393939,0.07258771202815552,250,,
